1 folha folha 5 NOUN nsubj
2 fotografo fotografo 1 NOUN appos
3 de de 4 ADP case
4 lula lula 2 NOUN nmod
5 tem ter 0 VERB root
6 salario salario 5 NOUN obj
7 maior maior 6 ADJ amod
8 de de 11 ADP case
9 o o 11 DET det
10 que que 8 ADP fixed
11 ministros ministro 5 NOUN nmod
12 de de 14 ADP case
13 o o 14 DET det
14 stf stf 11 NOUN nmod
15 materia materia 11 NOUN appos
16 publicada publicar 15 VERB acl
17 em em 19 ADP case
18 o o 19 DET det
19 uol uol 16 NOUN nmod
20 mostra mostrar 5 VERB parataxis
21 que que 27 CCONJ mark
22 o o 23 DET det
23 fotografo fotografo 27 NOUN nsubj
24 oficial oficial 23 ADJ amod
25 de de 26 ADP case
26 lula lula 23 NOUN nmod
27 tem ter 20 VERB ccomp
28 salario salario 27 NOUN obj
29 maior maior 28 ADJ amod
30 que que 31 ADP case
31 o o 27 PRON nmod
32 de de 34 ADP case
33 a o 34 DET det
34 presidente presidente 31 NOUN nmod
35 de de 37 ADP case
36 a o 37 DET det
37 republica republica 34 NOUN nmod
38 o o 39 DET det
39 salario salario 27 NOUN nsubj
40 de de 41 ADP case
41 dilma dilma 39 NOUN nmod
42 de de 43 ADP case
43 acordo acordo 39 NOUN nmod
44 com com 46 ADP case
45 o o 46 DET det
46 portal portal 43 NOUN nmod
47 de de 49 ADP case
48 a o 49 DET det
49 transparencia transparencia 46 NOUN nmod
50 de de 52 ADP case
51 o o 52 DET det
52 governo governo 46 NOUN nmod
53 federal federal 52 ADJ amod
54 esta esta 20 VERB ccomp
55 fixado fixado 54 ADJ xcomp
56 em em 57 ADP case
57 r r 55 NOUN nmod
58 30934 30934 59 NUM nummod
59 00 00 57 NUM nummod
60 os o 61 DET det
61 ministros ministro 65 NOUN nsubj
62 de de 64 ADP case
63 o o 64 DET det
64 stf stf 61 NOUN nmod
65 recebem receber 20 VERB ccomp
66 algo algo 65 PRON obj
67 em em 72 ADP advmod
68 torno torno 67 NOUN fixed
69 de de 67 ADP fixed
70 r r 65 NOUN nmod
71 33 33 72 NUM nummod
72 7 7 70 NUM nummod
73 mensais mensal 57 ADJ amod
74 ja ja 176 ADV advmod
75 o o 76 DET det
76 fotografo fotografo 65 NOUN nsubj
77 de de 78 ADP case
78 lula lula 76 NOUN nmod
79 ahhh ahhh 76 NOUN appos
80 de de 81 ADP case
81 acordo acordo 65 NOUN nmod
82 com com 84 ADP case
83 a o 84 DET det
84 reportagem reportagem 81 NOUN nmod
85 de de 86 ADP case
86 sergio sergio 84 NOUN nmod
87 rangel rangel 86 ADJ amod
88 uol uol 86 PROPN appos
89 o o 90 DET det
90 fotografo fotografo 163 NOUN nsubj
91 oficial oficial 90 ADJ amod
92 de de 94 ADP case
93 o o 94 DET det
94 expresidente expresidente 90 NOUN nmod
95 lula lula 94 ADJ amod
96 ricardo ricardo 174 NOUN appos
97 stuckert stuckert 96 NOUN flat
98 tem ter 5 VERB parataxis
99 rendimentos rendimento 98 NOUN obj
100 em em 102 ADP case
101 a o 102 DET det
102 casa casa 99 NOUN nmod
103 de de 105 ADP case
104 os o 105 DET det
105 r r 102 NOUN nmod
106 35 35 107 NUM nummod
107 mil mil 105 NUM nummod
108 mensais mensal 105 ADJ amod
109 quem quem 110 PRON nsubj
110 paga pagar 176 VERB ccomp
111 esse esse 112 DET det
112 salario salario 181 NOUN obj
113 a a 114 ADP case
114 cbf cbf 181 NOUN iobj
115 isso isso 181 PRON nsubj
