1 correu correr 0 VERB root
2 porque porque 14 CCONJ mark
3 pf pf 14 NOUN nsubj
4 de de 6 ADP case
5 a o 6 DET det
6 busca busca 3 NOUN nmod
7 em em 8 ADP case
8 hotel hotel 6 NOUN nmod
9 de de 10 ADP case
10 brasilia brasilia 8 NOUN nmod
11 lula lula 13 NOUN nsubj
12 nao nao 14 ADV advmod
13 era era 1 AUX ccomp
14 alvo alvo 1 ADJ ccomp
15 e e 18 CCONJ cc
16 mesmo mesmo 17 ADV advmod
17 assim assim 18 ADV advmod
18 saiu sair 14 VERB conj
19 correndo correr 18 VERB acl
20 noticias noticia 19 NOUN obj
21 de de 24 ADP case
22 os o 24 DET det
23 principais principal 24 ADJ amod
24 veiculos veiculo 20 NOUN nmod
25 de de 26 ADP case
26 comunicacao comunicacao 24 NOUN nmod
27 de de 29 ADP case
28 o o 29 DET det
29 pais pais 24 NOUN nmod
30 dao dao 18 VERB parataxis
31 conta conta 30 NOUN obj
32 que que 38 CCONJ mark
33 o o 34 DET det
34 expresidente expresidente 38 NOUN nsubj
35 lula lula 34 ADJ amod
36 teria ter 38 AUX aux
37 se se 38 PRON obj
38 evadido evadir 30 VERB ccomp
39 de de 41 ADP case
40 o o 41 DET det
41 hotel hotel 38 NOUN nmod
42 royal royal 41 ADJ amod
43 tulip tulip 41 NOUN appos
44 hoje hoje 38 ADV advmod
45 de de 46 ADP case
46 manha manha 44 NOUN nmod
47 a o 48 DET det
48 policia policia 51 NOUN nsubj
49 federal federal 48 ADJ amod
50 pf pf 48 NOUN appos
51 foi foi 30 VERB parataxis
52 a a 54 ADP case
53 um um 54 DET det
54 hotel hotel 51 NOUN nmod
55 em em 56 ADP case
56 brasilia brasilia 54 NOUN nmod
57 onde onde 60 ADV advmod
58 por por 59 ADP case
59 acaso acaso 60 NOUN nmod
60 estava estar 54 VERB acl:relcl
61 hospedado hospedado 60 ADJ xcomp
62 o o 63 DET det
63 expresidente expresidente 60 NOUN nsubj
64 luiz luiz 63 ADJ appos
65 inacio inacio 64 NOUN flat
66 lula lula 64 NOUN flat
67 de de 69 ADP case
68 a o 69 DET det
69 silva silva 64 NOUN nmod
70 o o 72 DET det
71 royal royal 72 ADJ amod
72 tulip tulip 60 NOUN nsubj
73 a o 74 DET det
74 operacao operacao 155 NOUN nsubj
75 faz fazer 155 VERB ccomp
76 parte parte 75 NOUN obj
77 de de 80 ADP case
78 a o 80 DET det
79 26 26 80 NUM nummod
80 fase fase 76 NOUN nmod
81 de de 83 ADP case
82 a o 83 DET det
83 operacao operacao 80 NOUN nmod
84 lavajato lavajato 83 NOUN flat
85 e e 169 CCONJ cc
86 foi foi 87 AUX aux:pass
87 autorizada autorizar 169 VERB conj
88 por por 92 ADP case
89 o o 92 DET det
90 por por 92 ADP case
91 o o 92 DET det
92 juiz juiz 87 NOUN nmod
93 sergio sergio 92 NOUN appos
94 moro moro 111 NOUN flat
95 de de 98 ADP case
96 a o 98 DET det
97 13 13 98 NUM nummod
98 vara vara 92 NOUN nmod
99 federal federal 98 ADJ amod
100 de de 101 ADP case
101 curitiba curitiba 98 NOUN nmod
102 uma um 103 DET det
103 viatura viatura 169 NOUN nsubj
104 de de 106 ADP case
105 a o 106 DET det
106 policia policia 103 NOUN nmod
107 federal federal 106 ADJ amod
108 entrou entrar 155 VERB ccomp
109 em em 111 ADP case
110 o o 111 DET det
111 inicio inicio 108 NOUN nmod
112 de de 114 ADP case
113 a o 114 DET det
114 manha manha 111 NOUN nmod
115 em em 117 ADP case
116 o o 117 DET det
117 hotel hotel 108 NOUN nmod
118 royal royal 117 ADJ amod
119 tulip tulip 117 NOUN appos
120 em em 121 ADP case
121 brasilia brasilia 38 NOUN nmod
122 endereco endereco 38 NOUN obj
123 de de 124 ADP case
124 politicos politico 122 NOUN nmod
125 em em 127 ADP case
126 a o 127 DET det
127 capital capital 122 NOUN nmod
128 federal federal 127 ADJ amod
129 e e 130 CCONJ cc
130 saiu sair 51 VERB conj
131 por por 132 ADP case
132 volta volta 130 NOUN nmod
133 de de 135 ADP case
134 as o 135 DET det
135 7h40 7h40 132 NUM nmod
136 sem sem 137 ADP case
137 presos preso 130 NOUN nmod
138 em em 139 ADP case
139 entrevista entrevista 130 NOUN nmod
140 coletiva coletivo 139 ADJ amod
141 agora agora 60 ADV advmod
142 em em 144 ADP case
143 a o 144 DET det
144 parte parte 51 NOUN nmod
145 de de 147 ADP case
146 a o 147 DET det
147 manha manha 144 NOUN nmod
148 a o 149 DET det
149 equipe equipe 51 NOUN nsubj
150 de de 151 ADP case
151 delegados delegado 149 NOUN nmod
152 de de 154 ADP case
153 a o 154 DET det
154 pf pf 151 NOUN nmod
155 disse dizer 1 VERB parataxis
156 que que 160 CCONJ mark
157 lula lula 160 NOUN nsubj
158 nao nao 160 ADV advmod
159 era era 160 AUX cop
160 alvo alvo 155 NOUN ccomp
161 de de 163 ADP case
162 nenhuma nenhuma 163 DET det
163 busca busca 160 NOUN nmod
164 dessa dessa 165 ADP case
165 vez vez 169 NOUN nmod
166 mesmo mesmo 167 ADV advmod
167 assim assim 169 ADV advmod
168 ele ele 169 PRON nsubj
169 saiu sair 155 VERB conj
170 de de 172 ADP case
171 o o 172 DET det
172 hotel hotel 169 NOUN nmod
173 em em 175 ADP case
174 alta alto 175 ADJ amod
175 velocidade velocidade 169 NOUN nmod
176 acompanhado acompanhar 169 VERB acl
177 se se 178 ADP case
178 segurancas segurancas 176 NOUN nmod
179 pessoais pessoal 178 ADJ amod
