1 saiu sair 0 VERB root
2 a o 3 DET det
3 resposta resposta 1 NOUN nsubj
4 oficial oficial 3 ADJ amod
5 de de 6 ADP case
6 dilma dilma 3 NOUN nmod
7 para para 9 ADP case
8 a o 9 DET det
9 carta carta 3 NOUN nmod
10 de de 11 ADP mark
11 temer temer 9 VERB nmod
12 pimentorium pimentorium 11 NOUN obj
13 in in 14 ADP case
14 anus anus 12 NOUN nmod
15 outrem outrem 16 DET det
16 refrescus refrescus 12 NOUN appos
17 vazou vazar 1 VERB parataxis
18 a o 19 DET det
19 carta carta 17 NOUN obj
20 de de 22 ADP case
21 a o 22 DET det
22 dilma dilma 19 NOUN nmod
23 para para 25 ADP case
24 o o 25 DET det
25 temer temer 19 NOUN nmod
26 pimentorium pimentorium 25 NOUN appos
27 in in 28 ADP case
28 anus anus 26 NOUN nmod
29 outrem outrem 30 DET det
30 refrescus refrescus 26 NOUN appos
