1 mais 2 ADV advmod
2 um 3 NUM nummod
3 registro 14 NOUN nsubj
4 de 6 ADP case
5 o 6 DET det
6 fascismo 3 NOUN nmod
7 petista 3 ADJ amod
8 deputados 14 NOUN nsubj
9 black 10 ADJ amod
10 blocs 8 NOUN appos
11 de 13 ADP case
12 o 13 DET det
13 pt 8 PROPN nmod
14 quebram 0 VERB root
15 dez 16 NUM nummod
16 urnas 14 NOUN obj
17 em 19 ADP case
18 o 19 DET det
19 congresso 14 NOUN nmod
20 o 21 DET det
21 jornal 23 NOUN nsubj
22 estadao 21 NOUN appos
23 denunciou 14 VERB parataxis
24 um 25 DET det
25 total 23 NOUN obj
26 de 28 ADP case
27 dez 28 NUM nummod
28 urnas 25 NOUN nmod
29 eletronicas 28 ADJ amod
30 quebradas 28 VERB acl
31 por 32 ADP case
32 deputados 30 NOUN nmod
33 de 35 ADP case
34 o 35 DET det
35 pt 32 NOUN nmod
36 e 37 CCONJ cc
37 aliados 32 NOUN conj
38 em 40 ADP case
39 a 40 DET det
40 camara 30 NOUN nmod
