1 samba samba 16 NOUN nsubj
2 de de 4 ADP case
3 o o 4 DET det
4 lula lula 1 NOUN nmod
5 e e 6 CCONJ cc
6 uma uma 1 PRON conj
7 de de 9 ADP case
8 as o 9 DET det
9 musicas musicas 6 NOUN nmod
10 mais mais 11 ADV advmod
11 tocadas tocado 9 ADJ amod
12 de de 14 ADP case
13 a o 14 DET det
14 semana semana 9 NOUN nmod
15 autor autor 1 NOUN appos
16 boca boca 0 NOUN root
17 nervosa nervoso 16 ADJ amod
18 nao nao 29 ADV advmod
19 e e 20 CCONJ cc
20 nada nada 18 PRON conj
21 meu meu 16 DET det:poss
22 nao nao 29 ADV advmod
23 e e 24 CCONJ cc
24 nada nada 22 PRON conj
25 meu meu 26 DET det:poss
26 excelencia excelencia 22 NOUN conj
27 eu eu 29 PRON nsubj
28 nao nao 29 ADV advmod
29 tenho ter 16 VERB parataxis
30 nada nada 29 PRON obj
31 isso isso 29 PRON obj
32 e e 33 CCONJ cc
33 tudo tudo 31 PRON conj
34 de de 35 ADP case
35 amigos amigo 33 NOUN nmod
36 meus meus 35 PRON amod
37 e e 44 CCONJ cc
38 o o 39 DET det
39 triplex triplex 29 NOUN conj
40 em em 42 ADP case
41 a o 42 DET det
42 praia praia 44 NOUN nmod
43 me me 44 PRON obj
44 diga dizer 29 VERB conj
45 de de 46 ADP case
46 quem quem 44 PRON nmod
47 e e 46 CCONJ cc
48 e e 46 CCONJ conj
49 de de 51 ADP case
50 um um 51 DET det
51 amigo amigo 46 NOUN nmod
52 meu meu 51 DET det:poss
53 e e 55 CCONJ cc
54 o o 55 DET det
55 sitio sitio 46 NOUN conj
56 de de 57 ADP case
57 atibaia atibaia 55 NOUN nmod
58 e e 61 CCONJ cc
59 de de 61 ADP case
60 um um 61 DET det
61 amigo amigo 46 NOUN conj
62 meu meu 61 DET det:poss
63 e e 65 CCONJ cc
64 aquela aquela 65 DET det
65 fundacao fundacao 44 NOUN conj
66 que que 67 PRON nsubj
67 carrega carregar 65 VERB acl:relcl
68 o o 70 DET det
69 seu seu 70 DET det:poss
70 nome nome 67 NOUN obj
71 e e 74 CCONJ cc
72 de de 74 ADP case
73 um um 74 DET det
74 amigo amigo 134 NOUN conj
75 meu meu 74 DET det:poss
76 e e 78 CCONJ cc
77 aquela aquela 78 DET det
78 ilha ilha 152 NOUN conj
79 que que 82 PRON obj
80 o o 81 DET det
81 senhor senhor 82 NOUN nsubj
82 descansa descansar 78 VERB acl:relcl
83 e e 86 CCONJ cc
84 de de 86 ADP case
85 um um 86 DET det
86 amigo amigo 152 NOUN conj
87 meu meu 86 DET det:poss
88 quem quem 89 PRON nsubj
89 paga pagar 169 VERB acl:relcl
90 a a 92 ADP case
91 suas suas 92 DET det:poss
92 contas conta 172 NOUN nmod
93 e e 95 CCONJ cc
94 suas suas 95 DET det:poss
95 mordomias mordomia 92 NOUN conj
96 sao sao 98 AUX cop
97 uns uns 98 DET det
98 amigos amigo 44 NOUN ccomp
99 meus meus 98 ADJ amod
100 e e 102 CCONJ cc
101 aquele aquele 102 DET det
102 jatinho jatinho 98 NOUN conj
103 que que 106 PRON obj
104 o o 105 DET det
105 senhor senhor 106 NOUN nsubj
106 usa usar 102 VERB acl:relcl
107 e e 110 CCONJ cc
108 de de 110 ADP case
109 um um 110 DET det
110 amigo amigo 46 NOUN conj
111 meu meu 110 DET det:poss
112 e e 114 CCONJ cc
113 aquele aquele 114 DET det
114 filho filho 46 NOUN conj
115 milionario milionario 114 ADJ amod
116 excelencia excelencer 44 NOUN parataxis
117 tambem tambem 118 ADV advmod
118 nao nao 44 ADV advmod
119 e e 123 CCONJ cc
120 meu meu 118 DET conj
121 nao nao 118 ADV conj
122 e e 123 CCONJ cc
123 nada nada 118 PRON conj
124 meu meu 121 DET det:poss
125 nao nao 44 ADV advmod
126 e e 127 CCONJ cc
127 nada nada 125 PRON conj
128 meu meu 129 DET det:poss
129 excelencia excelencia 125 NOUN conj
130 eu eu 132 PRON nsubj
131 nao nao 132 ADV advmod
132 tenho ter 44 VERB parataxis
133 nada nada 132 PRON obj
134 isso isso 133 PRON appos
135 e e 136 CCONJ cc
136 tudo tudo 134 PRON conj
137 de de 138 ADP case
138 amigos amigo 136 NOUN nmod
139 meus meus 138 ADJ amod
140 quem quem 152 PRON nsubj
141 e e 143 CCONJ cc
142 que que 143 PRON nsubj
143 deu dar 140 VERB conj
144 um um 145 DET det
145 rombo rombo 143 NOUN obj
146 la la 145 PRON flat
147 em em 149 ADP case
148 a o 149 DET det
149 petrobras petrobras 143 NOUN nmod
150 sao sao 152 AUX cop
151 uns uns 152 DET det
152 amigos amigo 44 NOUN conj
153 meus meus 152 PRON amod
154 e e 158 CCONJ cc
155 quem quem 158 PRON nsubj
156 foi foi 158 AUX cop
157 o o 158 DET det
158 cabeca cabeca 152 NOUN conj
159 de de 162 ADP case
160 um um 162 DET det
161 tal tal 162 DET det
162 mensalao mensalao 158 NOUN nmod
163 e e 165 CCONJ cc
164 um um 165 DET det
165 amigo amigo 152 NOUN conj
166 meu meu 165 DET det:poss
167 e e 169 CCONJ cc
168 o o 169 DET det
169 bando bando 152 NOUN conj
170 que que 172 PRON nsubj:pass
171 foi foi 172 AUX aux:pass
172 preso preso 169 VERB acl:relcl
173 por por 175 ADP case
174 a o 175 DET det
175 federal federal 172 NOUN nmod
176 e e 178 CCONJ cc
177 tudo tudo 178 DET det
178 amigo amigo 98 NOUN conj
179 meu meu 178 DET det:poss
180 quem quem 181 PRON nsubj
181 deixou deixar 178 VERB acl:relcl
182 o o 183 DET det
183 brasil brasil 181 NOUN obj
184 nessa nessa 185 ADP case
185 crise crise 181 NOUN nmod
186 excelencia excelencia 181 NOUN obj
187 e e 189 CCONJ cc
188 tudo tudo 189 DET det
189 amigo amigo 186 NOUN conj
190 meu meu 189 DET det:poss
