1 meu meu 2 DET det:poss
2 nome nome 17 NOUN nsubj
3 e e 4 CCONJ cc
4 um um 2 PRON conj
5 de de 7 ADP case
6 os o 7 DET det
7 3 3 4 NUM nmod
8 ou ou 9 CCONJ cc
9 4 4 7 NUM conj
10 de de 12 ADP case
11 o o 12 DET det
12 dem dem 7 NOUN nmod
13 para para 14 ADP mark
14 concorrer concorrer 4 VERB nmod
15 a a 16 ADP case
16 presidencia presidencia 14 NOUN nmod
17 diz dizer 0 VERB root
18 maia maia 17 NOUN obj
19 o o 20 DET det
20 presidente presidente 26 NOUN nsubj
21 de de 23 ADP case
22 a o 23 DET det
23 camara camara 20 NOUN nmod
24 rodrigo rodrigo 20 PROPN appos
25 maia maia 24 NOUN flat
26 negou negar 17 VERB ccomp
27 que que 31 CCONJ mark
28 o o 29 DET det
29 dem dem 31 PROPN nsubj
30 ira ira 31 AUX aux
31 desembarcar desembarcar 26 VERB ccomp
32 de de 34 ADP case
33 o o 34 DET det
34 governo governo 31 NOUN nmod
35 e e 36 CCONJ cc
36 disse dizer 26 VERB conj
37 que que 48 CCONJ mark
38 os o 40 DET det
39 outros outros 40 DET det
40 nomes nome 48 NOUN nsubj
41 cotados cotar 40 VERB acl
42 para para 44 ADP case
43 a o 44 DET det
44 disputa disputa 41 NOUN nmod
45 em em 46 ADP case
46 2018 2018 41 NUM nmod
47 sao ser 48 AUX cop
48 acm acm 36 NOUN ccomp
49 neto neto 48 NOUN flat
50 ronaldo ronaldo 48 NOUN appos
51 caiado caiado 50 NOUN flat
52 e e 53 CCONJ cc
53 mendonca mendonca 50 NOUN conj
54 filho filho 53 NOUN flat
55 rio rio 53 NOUN appos
56 o o 57 DET det
57 presidente presidente 48 NOUN nsubj
58 de de 60 ADP case
59 a o 60 DET det
60 camara camara 57 NOUN nmod
61 de de 63 ADP case
62 os o 63 DET det
63 deputados deputado 60 NOUN nmod
64 rodrigo rodrigo 57 PROPN appos
65 maia maia 64 NOUN flat
66 e e 67 CCONJ cc
67 um um 48 PRON conj
68 de de 73 ADP case
69 os o 73 DET det
70 tres tres 73 NUM nummod
71 ou ou 72 CCONJ cc
72 quatro quatro 70 NUM conj
73 nomes nome 67 NOUN nmod
74 que que 78 PRON obj
75 o o 76 DET det
76 dem dem 78 PROPN nsubj
77 vai ir 78 AUX aux
78 apresentar apresentar 73 VERB acl:relcl
79 como como 80 ADP case
80 candidato candidato 78 NOUN nmod
81 a a 82 ADP case
82 presidencia presidencia 80 NOUN nmod
83 de de 85 ADP case
84 a o 85 DET det
85 republica republica 82 NOUN nmod
86 em em 88 ADP case
87 o o 88 DET det
88 ano ano 78 NOUN nmod
89 que que 91 PRON nsubj
90 vem vir 91 AUX aux
91 informou informar 88 VERB acl:relcl
92 maia maia 91 NOUN nsubj
93 ele ele 94 PRON nsubj
94 negou negar 26 VERB ccomp
95 que que 100 CCONJ mark
96 o o 98 DET det
97 seu seu 98 DET det:poss
98 partido partido 100 NOUN nsubj
99 ira ira 100 AUX aux
100 desembarcar desembarcar 94 VERB ccomp
101 de de 103 ADP case
102 o o 103 DET det
103 governo governo 100 NOUN nmod
104 nao nao 105 ADV advmod
105 tenho ter 94 VERB ccomp
106 essa essa 107 DET det
107 informacao informacao 105 NOUN obj
108 e e 110 CCONJ cc
109 nao nao 110 ADV advmod
110 vejo ver 105 VERB conj
111 muito muito 112 DET det
112 sentido sentido 110 NOUN obj
113 disse dizer 105 VERB conj
114 maia maia 113 NOUN nsubj
115 apos apos 116 ADP mark
116 participar participar 113 VERB advcl
117 de de 119 ADP case
118 o o 119 DET det
119 lancamento lancamento 116 NOUN nmod
120 de de 122 ADP case
121 o o 122 DET det
