1 relembre relembrar 0 VERB root
2 a o 3 DET det
3 semana semana 1 NOUN obj
4 em em 5 ADP case
5 que que 13 PRON nmod
6 por por 9 ADP case
7 a o 9 DET det
8 1 1 9 NUM nummod
9 vez vez 13 NOUN nmod
10 um um 11 DET det
11 presidente presidente 13 NOUN nsubj:pass
12 foi foi 13 AUX aux:pass
13 denunciado denunciar 3 VERB acl:relcl
14 por por 16 ADP case
15 a o 16 DET det
16 pgr pgr 13 NOUN nmod
17 com com 18 ADP case
18 base base 13 NOUN nmod
19 em em 21 ADP case
20 as o 21 DET det
21 delacoes delacoe 18 NOUN nmod
22 de de 24 ADP case
23 a o 24 DET det
24 jbs jbs 21 NOUN nmod
25 ministerio ministerio 13 NOUN nsubj:pass
26 publico publico 25 ADJ amod
27 acusa acusar 1 VERB parataxis
28 michel michel 29 DET amod
29 temer temer 27 NOUN obj
30 de de 32 ADP mark
31 ter ter 32 AUX aux
32 cometido cometer 27 VERB nmod
33 o o 34 DET det
34 crime crime 32 NOUN obj
35 de de 36 ADP case
36 corrupcao corrupcao 34 NOUN nmod
37 passiva passivo 36 ADJ amod
38 presidente presidente 40 NOUN nsubj
39 se se 40 PRON obj
40 defende defender 34 VERB acl:relcl
41 e e 42 CCONJ cc
42 afirma afirmar 40 VERB conj
43 ser ser 44 AUX cop
44 vitima vitima 42 NOUN xcomp
45 de de 46 ADP case
46 infamia infamia 44 NOUN nmod
47 de de 48 ADP case
48 natureza natureza 44 NOUN nmod
49 politica politico 48 ADJ amod
50 a o 51 DET det
51 semana semana 53 NOUN nsubj:pass
52 foi foi 53 AUX aux:pass
53 marcada marcar 1 VERB parataxis
54 por por 57 ADP case
55 a o 57 DET det
56 primeira primeiro 57 ADJ amod
57 vez vez 53 NOUN nmod
58 em em 59 ADP case
59 que que 72 PRON nmod
60 um um 61 DET det
61 presidente presidente 72 NOUN nsubj:pass
62 de de 64 ADP case
63 a o 64 DET det
64 republica republica 61 NOUN nmod
65 em em 67 ADP case
66 o o 67 DET det
67 exercicio exercicio 61 NOUN nmod
68 de de 70 ADP case
69 o o 70 DET det
70 mandato mandato 67 NOUN nmod
71 foi foi 72 AUX aux:pass
72 denunciado denunciar 57 VERB acl:relcl
73 por por 75 ADP case
74 a o 75 DET det
75 procuradoria procuradoria 72 NOUN nmod
76 geral geral 75 ADJ amod
77 de de 79 ADP case
78 a o 79 DET det
79 republica republica 75 NOUN nmod
80 a a 83 ADP case
81 o o 83 DET det
82 supremo supremo 83 ADJ amod
83 tribunal tribunal 72 NOUN nmod
84 federal federal 83 ADJ amod
85 especial especial 83 ADJ amod
86 g1 g1 83 NUM appos
87 temer temer 86 NOUN flat
88 em em 90 ADP case
89 a o 90 DET det
90 mira mira 72 NOUN nmod
91 de de 93 ADP case
92 a o 93 DET det
93 justica justica 90 NOUN nmod
94 o o 95 DET det
95 presidente presidente 99 NOUN nsubj:pass
96 michel michel 97 ADJ amod
97 temer temer 95 NOUN appos
98 foi foi 99 AUX aux:pass
99 denunciado denunciar 57 VERB acl:relcl
100 por por 102 ADP case
101 o o 102 DET det
102 chefe chefe 99 NOUN nmod
103 de de 105 ADP case
104 o o 105 DET det
105 ministerio ministerio 102 NOUN nmod
106 publico publico 105 ADJ amod
107 o o 108 DET det
108 procuradorgeral procuradorgeral 99 NOUN nsubj:pass
109 de de 111 ADP case
110 a o 111 DET det
111 republica republica 108 NOUN nmod
112 rodrigo rodrigo 108 NOUN appos
113 janot janot 112 NOUN flat
114 por por 116 ADP case
115 o o 116 DET det
116 crime crime 112 NOUN nmod
117 de de 118 ADP case
118 corrupcao corrupcao 116 NOUN nmod
119 passiva passivo 118 ADJ amod
120 cabera caberar 99 VERB parataxis
121 a o 122 DET det
122 camara camara 120 NOUN nsubj
123 autorizar autorizar 120 VERB csubj
124 o o 125 DET det
125 stf stf 123 NOUN obj
126 a a 127 ADP mark
127 analisar analisar 123 VERB nmod
128 a o 129 DET det
129 denuncia denuncia 127 NOUN obj
130 entenda entender 120 VERB ccomp
131 a o 132 DET det
132 tramitacao tramitacao 139 NOUN obj
133 de de 135 ADP case
134 a o 135 DET det
135 denuncia denuncia 132 NOUN nmod
136 se se 139 CCONJ mark
137 a o 138 DET det
138 denuncia denuncia 139 NOUN nsubj
139 passar passar 120 VERB advcl
