1 protesto protesto 6 NOUN nsubj
2 nao nao 3 ADV advmod
3 muda mudar 1 VERB acl:relcl
4 absolutamente absolutamente 3 ADV advmod
5 nada nada 3 PRON obj
6 diz dizer 0 VERB root
7 relator relator 6 NOUN obj
8 de de 10 ADP case
9 a o 10 DET det
10 reforma reforma 7 NOUN nmod
11 de de 13 ADP case
12 a o 13 DET det
13 previdencia previdencia 10 NOUN nmod
14 em em 15 ADP case
15 dia dia 6 NOUN nmod
16 de de 17 ADP case
17 manifestacoes manifestacoe 7 NOUN nmod
18 em em 21 ADP case
19 todo todo 21 DET det
20 o o 21 DET det
21 pais pais 17 NOUN nmod
22 contra contra 24 ADP case
23 o o 24 DET det
24 projeto projeto 17 NOUN nmod
25 de de 27 ADP case
26 o o 27 DET det
27 governo governo 24 NOUN nmod
28 temer temer 27 NOUN flat
29 deputado deputado 33 NOUN nsubj
30 arthur arthur 29 NOUN appos
31 maia maia 30 NOUN flat
32 ppsba ppsba 30 NOUN flat
33 disse dizer 6 VERB parataxis
34 que que 36 CCONJ mark
35 atos ato 36 NOUN nsubj
36 sao ser 33 VERB ccomp
37 de de 38 ADP case
38 grupos grupo 36 NOUN nmod
39 historicamente historicamente 40 ADV advmod
40 contrarios contrario 38 ADJ amod
41 a a 42 ADP case
42 reforma reforma 40 NOUN nmod
43 o o 44 DET det
44 relator relator 36 NOUN nsubj
45 de de 47 ADP case
46 o o 47 DET det
47 projeto projeto 44 NOUN nmod
48 de de 50 ADP case
49 a o 50 DET det
50 reforma reforma 47 NOUN nmod
51 de de 53 ADP case
52 a o 53 DET det
53 previdencia previdencia 50 NOUN nmod
54 deputado deputado 44 NOUN appos
55 arthur arthur 54 PROPN appos
56 maia maia 55 NOUN flat
57 ppsba ppsba 55 NOUN flat
58 afirmou afirmar 6 VERB parataxis
59 nesta nesta 60 ADP case
60 quartafeira quartafeira 58 NOUN nmod
61 15 15 60 NUM nmod
62 que que 140 CCONJ mark
63 manifestacoes manifestacoe 140 NOUN nsubj
64 contrarias contrario 63 ADJ amod
65 a a 67 ADP case
66 o o 67 DET det
67 projeto projeto 64 NOUN nmod
68 nao nao 69 ADV advmod
69 mudam mudar 95 VERB ccomp
70 absolutamente absolutamente 71 ADV advmod
71 nada nada 69 PRON obj
72 em em 74 ADP case
73 seu seu 74 DET det:poss
74 relatorio relatorio 69 NOUN nmod
75 nesta nesta 76 ADP case
76 quarta quarta 77 PROPN nmod
77 houve haver 58 VERB ccomp
78 manifestacoes manifestacoe 77 NOUN obj
79 contrarias contrario 78 ADJ amod
80 a a 81 ADP case
81 proposta proposta 79 NOUN nmod
82 em em 87 ADP case
83 a a 85 ADP case
84 o o 85 DET det
85 menos menos 86 ADV advmod
86 23 23 87 NUM nummod
87 capitais capital 77 NOUN nmod
88 e e 91 CCONJ cc
89 em em 91 ADP case
90 o o 91 DET det
91 distrito distrito 87 NOUN conj
92 federal federal 91 ADJ amod
93 a o 94 DET det
94 gente gente 95 NOUN nsubj
95 sabe saber 58 VERB ccomp
96 que que 107 CCONJ mark
97 quem quem 98 PRON nsubj
98 fez fazer 107 VERB csubj
99 essa essa 100 DET det
100 manifestacao manifestacao 98 NOUN obj
101 quem quem 103 PRON nsubj
102 esta esta 103 AUX aux
103 patrocinando patrocinar 100 VERB acl:relcl
104 essa essa 105 DET det
105 manifestacao manifestacao 103 NOUN obj
106 sao sao 107 AUX cop
107 setores setor 58 NOUN ccomp
108 que que 110 PRON nsubj
109 historicamente historicamente 110 ADV advmod
110 foram foram 107 VERB acl:relcl
111 contra contra 113 ADP case
112 a o 113 DET det
113 reforma reforma 110 NOUN nmod
114 de de 116 ADP case
115 a o 116 DET det
116 previdencia previdencia 113 NOUN nmod
117 portanto portanto 77 ADV advmod
118 de de 120 ADP case
119 o o 120 DET det
120 ponto ponto 117 NOUN nmod
121 de de 122 ADP case
122 vista vista 120 NOUN nmod
123 de de 125 ADP case
124 a o 125 DET det
125 cabeca cabeca 120 NOUN nmod
126 de de 128 ADP case
127 o o 128 DET det
128 relator relator 125 NOUN nmod
129 isso isso 131 PRON nsubj
130 nao nao 131 ADV advmod
131 muda mudar 95 VERB ccomp
132 absolutamente absolutamente 131 ADV advmod
133 nada nada 131 PRON obj
134 afirmou afirmar 137 VERB ccomp
135 o o 136 DET det
136 deputado deputado 137 NOUN nsubj
137 disse dizer 58 VERB ccomp
138 que que 140 CCONJ mark
139 vai ir 140 AUX aux
140 elaborar elaborar 137 VERB ccomp
141 o o 142 DET det
142 parecer parecer 140 NOUN obj
143 sobre sobre 145 ADP case
144 a o 145 DET det
145 proposta proposta 142 NOUN nmod
146 com com 149 ADP case
147 a o 149 DET det
148 propria proprio 149 ADJ amod
149 consciencia consciencia 140 NOUN nmod
150 e e 153 CCONJ cc
151 que que 153 CCONJ mark
152 vai ir 153 AUX aux
153 ouvir ouvir 140 VERB conj
154 os o 155 DET det
155 colegas colega 153 NOUN obj
156 deputados deputado 155 ADJ amod
157 o o 153 PRON obj
158 que que 160 PRON nsubj
159 pode pode 160 AUX aux
160 influenciar influenciar 157 VERB acl:relcl
161 o o 85 DET det
162 meu meu 155 DET det:poss
