1 cinco cinco 2 NUM nummod
2 perguntas pergunta 21 NOUN nsubj
3 para para 4 ADP mark
4 entender entender 2 VERB nmod
5 a o 6 DET det
6 crise crise 4 NOUN obj
7 com com 9 ADP case
8 a o 9 DET det
9 coreia coreia 6 NOUN nmod
10 de de 12 ADP case
11 o o 12 DET det
12 norte norte 9 NOUN nmod
13 e e 15 CCONJ cc
14 as o 15 DET det
15 possibilidades possibilidade 6 NOUN conj
16 de de 18 ADP case
17 uma um 18 DET det
18 guerra guerra 15 NOUN nmod
19 estados estado 18 NOUN amod
20 unidos unido 18 ADJ amod
21 cogitam cogitar 0 VERB root
22 acao acao 21 NOUN obj
23 militar militar 22 ADJ amod
24 contra contra 25 ADP case
25 pais pais 22 NOUN nmod
26 asiatico asiatico 25 ADJ amod
27 apos apos 28 ADP case
28 lancamento lancamento 21 NOUN nmod
29 de de 30 ADP case
30 missil missil 28 NOUN nmod
31 que que 32 PRON nsubj
32 tem ter 30 VERB acl:relcl
33 capacidade capacidade 32 NOUN obj
34 de de 35 ADP mark
35 atingir atingir 33 VERB nmod
36 o o 37 DET det
37 alasca alasca 35 NOUN obj
38 em em 40 ADP case
39 o o 40 DET det
40 dia dia 35 NOUN nmod
41 de de 43 ADP case
42 a o 43 DET det
43 independencia independencia 40 NOUN nmod
44 de de 46 ADP case
45 os o 46 DET det
46 estados estado 43 NOUN nmod
47 unidos unido 46 ADJ amod
48 4 4 43 NUM nmod
49 de de 50 ADP case
50 julho julho 48 PROPN nmod
51 a o 52 DET det
52 coreia coreia 56 NOUN nsubj
53 de de 55 ADP case
54 o o 55 DET det
55 norte norte 52 NOUN nmod
56 lancou lancar 21 VERB parataxis
57 com com 58 ADP case
58 sucesso sucesso 56 NOUN nmod
59 um um 60 DET det
60 missil missil 56 NOUN obj
61 balistico balistico 60 ADJ amod
62 intercontinental intercontinental 60 ADJ amod
63 com com 64 ADP case
64 capacidade capacidade 56 NOUN nmod
65 de de 66 ADP mark
66 atingir atingir 64 VERB nmod
67 o o 68 DET det
68 alasca alasca 66 NOUN obj
69 a o 70 DET det
70 televisao televisao 56 NOUN nsubj
71 estatal estatal 70 ADJ amod
72 nortecoreana nortecoreano 70 ADJ amod
73 divulgou divulgar 21 VERB parataxis
74 imagens imagem 73 NOUN obj
75 de de 77 ADP case
76 o o 77 DET det
77 teste teste 74 NOUN nmod
78 chamado chamar 77 VERB acl
79 de de 80 ADP mark
80 presente presente 78 NOUN nmod
81 a a 83 ADP case
82 os o 83 DET det
83 estados estado 80 NOUN nmod
84 unidos unido 83 ADJ amod
85 e e 86 CCONJ cc
86 anunciou anunciar 73 VERB conj
87 que que 90 CCONJ mark
88 o o 89 DET det
89 feito feito 90 NOUN nsubj
90 coloca colocar 86 VERB ccomp
91 o o 92 DET det
92 pais pais 90 NOUN obj
93 em em 95 ADP case
94 o o 95 DET det
95 patamar patamar 90 NOUN nmod
96 de de 97 ADP case
97 potencia potencia 95 NOUN nmod
98 nuclear nuclear 97 ADJ amod
99 que que 100 PRON nsubj
100 e e 95 VERB acl:relcl
101 agora agora 102 ADV advmod
102 capaz capaz 100 ADJ xcomp
103 de de 104 ADP mark
104 atingir atingir 102 VERB nmod
105 qualquer qualquer 106 DET det
106 parte parte 104 NOUN obj
107 de de 109 ADP case
108 o o 109 DET det
109 mundo mundo 106 NOUN nmod
110 em em 112 ADP case
111 o o 112 DET det
112 dia dia 104 NOUN nmod
113 seguinte seguinte 112 ADJ amod
114 os o 115 DET det
115 estados estado 128 NOUN nsubj
116 unidos unido 115 ADJ amod
117 e e 118 CCONJ cc
118 um um 115 PRON conj
119 de de 121 ADP case
120 seus seus 121 DET det:poss
121 aliados aliado 118 NOUN nmod
122 asiaticos asiatico 121 ADJ amod
123 a o 124 DET det
124 coreia coreia 128 NOUN nsubj
125 de de 127 ADP case
126 o o 127 DET det
127 sul sul 124 NOUN nmod
128 conduziram conduzir 150 VERB ccomp
129 em em 130 ADP case
130 resposta resposta 128 NOUN nmod
131 um um 132 DET det
132 teste teste 128 NOUN obj
133 de de 134 ADP case
134 misseis missil 132 NOUN nmod
135 em em 137 ADP case
136 o o 137 DET det
137 territorio territorio 132 NOUN nmod
138 de de 140 ADP case
139 o o 140 DET det
140 sulcoreano sulcoreano 137 NOUN nmod
141 autoridades autoridade 128 NOUN nsubj
142 de de 145 ADP case
143 os o 145 DET det
144 dois dois 145 NUM nummod
145 paises paise 141 NOUN nmod
146 emitiram emitir 21 VERB parataxis
147 entao entao 146 ADV advmod
148 um um 149 DET det
149 comunicado comunicado 146 NOUN obj
150 destacando destacar 149 VERB acl
151 que que 128 CCONJ mark
152 a o 153 DET det
153 moderacao moderacao 128 NOUN nsubj
154 e e 156 CCONJ cc
155 tudo tudo 156 PRON det
156 o o 153 PRON conj
157 que que 158 PRON nsubj
158 separa separar 156 VERB acl:relcl
159 a o 160 DET det
160 tregua tregua 158 NOUN obj
161 de de 163 ADP case
162 a o 163 DET det
163 guerra guerra 160 NOUN nmod
164 em em 166 ADP case
165 a o 166 DET det
166 sequencia sequencia 158 NOUN nmod
167 os o 168 DET det
168 americanos americano 56 NOUN nsubj
169 convocaram convocar 56 VERB parataxis
170 uma um 171 DET det
171 reuniao reuniao 169 NOUN obj
172 de de 173 ADP case
173 emergencia emergencia 171 NOUN nmod
174 em em 176 ADP case
175 o o 176 DET det
176 conselho conselho 171 NOUN nmod
177 de de 178 ADP case
178 seguranca seguranca 176 NOUN nmod
179 de de 181 ADP case
180 a o 181 DET det
181 onu onu 176 NOUN nmod
182 em em 184 ADP case
183 nova novo 184 ADJ amod
184 york york 43 PROPN nmod
185 onde onde 186 ADV advmod
186 anunciaram anunciar 176 VERB acl:relcl
187 que que 188 CCONJ mark
188 pretendem pretender 186 VERB ccomp
189 apresentar apresentar 188 VERB xcomp
190 um um 191 DET det
191 conjunto conjunto 189 NOUN obj
192 de de 193 ADP case
193 sancoes sancoe 191 NOUN nmod
194 a a 196 ADP case
195 o o 196 DET det
196 pais pais 189 NOUN iobj
197 asiatico asiatico 196 ADJ amod
198 e e 199 CCONJ cc
199 elevaram elevar 186 VERB conj
200 o o 201 DET det
201 tom tom 199 NOUN obj
202 de de 204 ADP case
203 o o 204 DET det
204 discurso discurso 201 NOUN nmod
205 podemos podemos 206 AUX aux
206 usar usar 214 VERB acl:relcl
207 nossas nossas 208 DET det:poss
208 forcas forca 206 NOUN obj
209 militares militar 208 ADJ amod
210 se se 211 CCONJ mark
211 precisarmos precisar 206 VERB advcl
212 alertou alertar 86 VERB ccomp
213 a o 214 DET det
214 embaixadora embaixador 212 NOUN nsubj
215 de de 217 ADP case
216 os o 217 DET det
217 estados estado 214 NOUN nmod
218 unidos unido 217 ADJ amod
219 em em 221 ADP case
220 a o 221 DET det
221 onu onu 214 NOUN nmod
222 nikki nikki 214 PROPN appos
223 haley haley 222 PROPN flat
224 a o 225 DET det
225 relacao relacao 212 NOUN nsubj
226 conflituosa conflituoso 225 ADJ amod
227 entre entre 229 ADP case
228 a o 229 DET det
229 coreia coreia 225 NOUN nmod
230 de de 232 ADP case
231 o o 232 DET det
232 norte norte 229 NOUN nmod
233 e e 235 CCONJ cc
234 os o 235 DET det
235 estados estado 229 NOUN conj
236 unidos unido 235 ADJ amod
237 e e 239 CCONJ cc
238 seus seus 239 DET det:poss
239 aliados aliado 229 NOUN conj
240 asiaticos asiatico 239 ADJ amod
241 nao nao 90 ADV advmod
242 e e 243 CCONJ cc
243 recente recente 90 ADJ conj
244 mas mas 246 CCONJ cc
245 o o 246 DET det
246 lancamento lancamento 225 NOUN conj
247 bemsucedido bemsucedido 246 ADJ amod
248 de de 250 ADP case
249 um um 250 DET det
250 missil missil 246 NOUN nmod
251 que que 128 PRON nsubj
