1 metade metade 5 NOUN nsubj
2 de de 4 ADP case
3 o o 4 DET det
4 senado senado 1 NOUN nmod
5 assina assinar 0 VERB root
6 pedido pedido 5 NOUN obj
7 para para 8 ADP mark
8 votar votar 6 VERB nmod
9 em em 10 ADP case
10 plenario plenario 8 NOUN nmod
11 fim fim 5 NOUN obj
12 de de 14 ADP case
13 o o 14 DET det
14 foro foro 11 NOUN nmod
15 privilegiado privilegiado 14 ADJ amod
16 grupo grupo 24 NOUN nsubj
17 formado formar 16 VERB acl
18 por por 19 ADP case
19 41 41 17 NUM nmod
20 de de 23 ADP case
21 os o 23 DET det
22 81 81 23 NUM nummod
23 parlamentares parlamentar 19 NOUN nmod
24 assinou assinar 5 VERB parataxis
25 documento documento 24 NOUN obj
26 para para 29 ADP mark
27 que que 29 CCONJ mark
28 eunicio eunicio 29 NOUN nsubj
29 inclua incluir 25 VERB nmod
30 texto texto 29 NOUN obj
31 em em 33 ADP case
32 a o 33 DET det
33 pauta pauta 29 NOUN nmod
34 de de 35 ADP case
35 votacoes votacoe 33 NOUN nmod
36 e e 37 CCONJ cc
37 determine determinar 29 VERB conj
38 as o 39 DET det
39 datas data 37 NOUN obj
40 para para 41 ADP mark
41 analise analisar 37 VERB nmod
42 assinaturas assinatura 41 NOUN obj
43 podem podem 45 AUX aux
44 ser ser 45 AUX aux:pass
45 retiradas retirar 24 VERB conj
46 um um 47 DET det
47 grupo grupo 180 NOUN nsubj:pass
48 formado formar 47 VERB acl
49 por por 51 ADP case
50 41 41 51 NUM nummod
51 senadores senador 48 NOUN nmod
52 de de 54 ADP case
53 diversos diversos 54 DET det
54 partidos partido 51 NOUN nmod
55 assinou assinar 192 VERB acl:relcl
56 um um 57 DET det
57 requerimento requerimento 220 NOUN obj
58 para para 83 ADP mark
59 que que 58 CCONJ fixed
60 a o 61 DET det
61 proposta proposta 83 NOUN nsubj:pass
62 de de 63 ADP case
63 emenda emenda 61 NOUN nmod
64 a a 65 ADP case
65 constituicao constituicao 63 NOUN nmod
66 pec pec 65 NOUN appos
67 que que 68 PRON nsubj
68 poe poe 61 VERB acl:relcl
69 fim fim 68 NOUN obj
70 a a 72 ADP case
71 o o 72 DET det
72 foro foro 206 NOUN iobj
73 especial especial 72 ADJ amod
74 por por 75 ADP case
75 prerrogativa prerrogativa 206 NOUN nmod
76 de de 77 ADP case
77 funcao funcao 75 NOUN nmod
78 o o 218 DET det
79 chamado chamado 80 ADJ amod
80 foro foro 206 NOUN nsubj
81 privilegiado privilegiado 80 ADJ amod
82 seja ser 83 AUX aux:pass
83 incluida incluir 192 VERB acl:relcl
84 em em 86 ADP case
85 a o 86 DET det
86 pauta pauta 83 NOUN nmod
87 de de 88 ADP case
88 votacoes votacoe 86 NOUN nmod
89 de de 91 ADP case
90 o o 91 DET det
91 plenario plenario 86 NOUN nmod
92 de de 94 ADP case
93 o o 94 DET det
94 senado senado 91 NOUN nmod
95 leia ler 5 VERB parataxis
96 a a 98 ADP case
97 o o 98 DET det
98 final final 95 NOUN nmod
99 desta desta 100 ADP case
100 reportagem reportagem 98 NOUN nmod
101 os o 102 DET det
102 nomes nome 83 NOUN nsubj:pass
103 de de 106 ADP case
104 os o 106 DET det
105 41 41 106 NUM nummod
106 senadores senador 102 NOUN nmod
107 os o 108 DET det
108 parlamentares parlamentar 220 NOUN nsubj
109 que que 110 PRON nsubj
110 assinaram assinar 108 VERB acl:relcl
111 o o 112 DET det
112 requerimento requerimento 110 NOUN obj
113 podem podem 115 AUX aux
114 eventualmente eventualmente 115 ADV advmod
115 retirar retirar 228 VERB parataxis
116 as o 117 DET det
117 assinaturas assinatura 115 NOUN obj
118 o o 245 PRON obj
119 que que 121 PRON nsubj
120 poderia poder 121 AUX aux
121 inviabilizar inviabilizar 118 VERB acl:relcl
122 a o 123 DET det
123 inclusao inclusao 121 NOUN obj
124 de de 126 ADP case
125 a o 126 DET det
126 proposta proposta 123 NOUN nmod
127 em em 129 ADP case
128 a o 129 DET det
129 pauta pauta 123 NOUN nmod
130 de de 131 ADP case
131 votacoes votacoe 129 NOUN nmod
132 de de 134 ADP case
133 o o 134 DET det
134 senado senado 129 NOUN nmod
135 a o 136 DET det
136 pec pec 245 NOUN nsubj
137 foi foi 138 AUX aux:pass
138 aprovada aprovar 5 VERB parataxis
139 por por 141 ADP case
140 a o 141 DET det
141 comissao comissao 138 NOUN nmod
142 de de 143 ADP case
143 constituicao constituicao 141 NOUN nmod
144 e e 145 CCONJ cc
145 justica justica 143 NOUN conj
146 ccj ccj 143 PROPN appos
147 em em 148 ADP case
148 novembro novembro 228 PROPN nmod
149 de de 151 ADP case
150 o o 151 DET det
151 ano ano 148 NOUN nmod
152 passado passado 151 ADJ amod
153 e e 160 CCONJ cc
154 para para 155 ADP mark
155 ir ir 160 VERB advcl
156 a o 157 DET det
157 votacao votacao 155 NOUN obj
158 em em 159 ADP case
159 plenario plenario 157 NOUN nmod
160 precisa precisar 29 VERB conj
161 incluida incluido 160 ADJ xcomp
162 em em 164 ADP case
163 a o 164 DET det
164 pauta pauta 161 NOUN nmod
165 por por 167 ADP case
166 o o 167 DET det
167 presidente presidente 164 NOUN nmod
168 eunicio eunicio 167 NOUN appos
169 oliveira oliveira 168 ADJ flat
170 pmdbce pmdbce 168 NOUN flat
171 em em 172 ADP case
172 acordo acordo 160 NOUN nmod
173 com com 175 ADP case
174 os o 175 DET det
175 lideres lider 172 NOUN nmod
176 partidarios partidario 175 ADJ amod
177 a o 178 DET det
178 proposta proposta 180 NOUN nsubj:pass
179 foi foi 180 AUX aux:pass
180 apresentada apresentar 5 VERB parataxis
181 por por 182 ADP case
182 alvaro alvaro 180 NOUN nmod
183 dias dia 182 NOUN flat
184 pvpr pvpr 182 NOUN flat
185 e e 186 CCONJ cc
186 extingue extinguir 180 VERB conj
187 o o 188 DET det
188 foro foro 186 NOUN obj
189 privilegiado privilegiado 188 ADJ amod
190 em em 192 ADP case
191 os o 192 DET det
192 casos caso 186 NOUN nmod
193 em em 194 ADP case
194 que que 206 PRON nmod
195 as o 196 DET det
196 autoridades autoridade 206 NOUN nsubj
197 presidente presidente 196 NOUN appos
198 de de 200 ADP case
199 a o 200 DET det
200 republica republica 197 NOUN nmod
201 senadores senador 206 NOUN nsubj
202 e e 203 CCONJ cc
203 deputados deputado 201 NOUN conj
204 entre entre 205 ADP case
205 outras outras 68 PRON nmod
206 cometerem cometer 192 VERB acl:relcl
207 os o 209 DET det
208 chamados chamado 209 ADJ amod
209 crimes crime 206 NOUN obj
210 comuns comum 209 ADJ amod
211 como como 214 ADP case
212 por por 213 ADP case
213 exemplo exemplo 214 NOUN nmod
214 roubo roubo 206 NOUN nmod
215 e e 216 CCONJ cc
216 corrupcao corrupcao 214 NOUN conj
