1 luz luz 26 NOUN nsubj
2 de de 4 ADP case
3 o o 4 DET det
4 estadio estadio 1 NOUN nmod
5 de de 7 ADP case
6 o o 7 DET det
7 maracana maracana 4 NOUN nmod
8 e e 9 CCONJ cc
9 cortada cortar 1 VERB conj
10 por por 11 ADP case
11 divida divida 9 NOUN nmod
12 de de 13 ADP case
13 r r 11 NOUN nmod
14 3 3 15 NUM nummod
15 milhoes milhoes 13 NUM nummod
16 empresa empresa 1 NOUN appos
17 responsavel responsavel 16 ADJ amod
18 por por 20 ADP case
19 o o 20 DET det
20 abastecimento abastecimento 17 NOUN nmod
21 de de 22 ADP case
22 energia energia 20 NOUN nmod
23 em em 25 ADP case
24 o o 25 DET det
25 rio rio 20 NOUN nmod
26 confirmou confirmar 0 VERB root
27 informacao informacao 26 NOUN obj
28 a a 29 ADP case
29 globonews globonews 26 NOUN iobj
30 o o 31 DET det
31 abastecimento abastecimento 49 NOUN nsubj:pass
32 de de 33 ADP case
33 energia energia 31 NOUN nmod
34 eletrica eletrico 33 ADJ amod
35 de de 37 ADP case
36 o o 37 DET det
37 estadio estadio 31 NOUN nmod
38 de de 40 ADP case
39 o o 40 DET det
40 maracana maracana 37 NOUN nmod
41 em em 43 ADP case
42 a o 43 DET det
43 zona zona 49 NOUN nmod
44 norte norte 43 ADJ amod
45 de de 47 ADP case
46 o o 47 DET det
47 rio rio 43 NOUN nmod
48 foi foi 49 AUX aux:pass
49 cortado cortar 26 VERB ccomp
50 em em 52 ADP case
51 a o 52 DET det
52 manha manha 49 NOUN nmod
53 desta desta 54 ADP case
54 quintafeira quintafeira 52 NOUN nmod
55 26 26 54 NUM appos
56 por por 57 ADP case
57 falta falta 49 NOUN nmod
58 de de 59 ADP case
59 pagamento pagamento 57 NOUN nmod
60 de de 61 ADP case
61 acordo acordo 49 NOUN nmod
62 com com 64 ADP case
63 a o 64 DET det
64 globonews globonews 61 NOUN nmod
65 ja ja 66 ADV advmod
66 sao sao 49 VERB parataxis
67 5 5 68 NUM nummod
68 meses mês 66 NOUN nsubj
69 de de 70 ADP case
70 atraso atraso 68 NOUN nmod
71 em em 73 ADP case
72 um um 73 DET det
73 total total 70 NOUN nmod
74 de de 75 ADP case
75 r r 73 NOUN nmod
76 3 3 77 NUM nummod
77 milhoes milhoes 75 NUM nummod
78 em em 79 ADP case
79 divida divida 73 NOUN nmod
80 em em 81 ADP case
81 setembro setembro 91 PROPN nmod
82 e e 83 CCONJ cc
83 outubro outubro 81 PROPN conj
84 o o 85 DET det
85 comite comite 91 NOUN nsubj
86 rio rio 85 NOUN appos
87 2016 2016 86 NUM appos
88 ainda ainda 91 ADV advmod
89 era era 91 AUX cop
90 o o 91 DET det
91 responsavel responsavel 49 NOUN parataxis
92 por por 94 ADP case
93 a o 94 DET det
94 gestao gestao 91 NOUN nmod
95 de de 97 ADP case
96 o o 97 DET det
97 estadio estadio 94 NOUN nmod
