1 nao nao 3 ADV advmod
2 e e 3 CCONJ cc
3 hora hora 7 NOUN nsubj
4 de de 5 ADP mark
5 falar falar 3 VERB nmod
6 nada nada 5 PRON obj
7 diz dizer 0 VERB root
8 janot janot 7 NOUN nsubj
9 sobre sobre 10 ADP case
10 delacoes delacoe 8 NOUN nmod
11 de de 13 ADP case
12 a o 13 DET det
13 odebrecht odebrecht 10 NOUN nmod
14 presidente presidente 13 NOUN appos
15 de de 17 ADP case
16 o o 17 DET det
17 stf stf 14 NOUN nmod
18 carmen carmen 13 NOUN appos
19 lucia lucia 18 ADJ flat
20 homologou homologar 7 VERB parataxis
21 delacoes delacoe 20 NOUN obj
22 de de 24 ADP case
23 77 77 24 NUM nummod
24 executivos executivo 21 NOUN nmod
25 e e 26 CCONJ cc
26 exexecutivos exexecutivo 24 NOUN conj
27 de de 29 ADP case
28 a o 29 DET det
29 empreiteira empreiteiro 24 NOUN nmod
30 em em 32 ADP case
31 o o 32 DET det
32 ambito ambito 20 NOUN nmod
33 de de 35 ADP case
34 a o 35 DET det
35 lava lava 32 NOUN nmod
36 jato jato 35 NOUN flat
