1 grupo grupo 2 NOUN nsubj
2 faz fazer 0 VERB root
3 manifestacao manifestacao 2 NOUN obj
4 em em 5 ADP case
5 sao sao 2 NOUN nmod
6 carlos carlo 2 NOUN nmod
7 sp sp 2 NOUN nmod
8 apos apos 9 ADP case
9 assassinato assassinato 2 NOUN nmod
10 de de 11 ADP case
11 vereadora vereador 9 NOUN nmod
12 de de 14 ADP case
13 o o 14 DET det
14 rio rio 11 NOUN nmod
15 a o 16 DET det
16 organizacao organizacao 17 NOUN nsubj
17 estima estimar 2 VERB parataxis
18 que que 23 CCONJ mark
19 cerca cerca 21 ADV advmod
20 de de 19 ADP case
21 150 150 22 NUM nummod
22 pessoas pessoa 23 NOUN nsubj
23 participaram participar 17 VERB ccomp
24 de de 26 ADP case
25 o o 26 DET det
26 ato ato 23 NOUN nmod
27 a o 28 DET det
28 policia policia 31 NOUN nsubj
29 militar militar 28 ADJ amod
30 nao nao 31 ADV advmod
31 divulgou divulgar 17 VERB ccomp
32 o o 33 DET det
33 numero numero 31 NOUN obj
34 de de 35 ADP case
35 participantes participante 33 NOUN nmod
36 moradores morador 35 NOUN amod
37 e e 38 CCONJ cc
38 filiados filiado 36 ADJ conj
39 a a 41 ADP case
40 o o 41 DET det
41 psol psol 38 NOUN nmod
42 fizeram fazer 17 VERB ccomp
43 uma um 44 DET det
44 manifestacao manifestacao 42 NOUN obj
45 em em 47 ADP case
46 o o 47 DET det
47 inicio inicio 42 NOUN nmod
48 de de 50 ADP case
49 a o 50 DET det
50 noite noite 47 NOUN nmod
51 desta desta 52 ADP case
52 quintafeira quintafeira 50 NOUN nmod
53 15 15 52 NUM appos
54 em em 55 ADP case
55 protesto protesto 42 NOUN nmod
56 a a 58 ADP case
57 o o 58 DET det
58 assassinato assassinato 55 NOUN nmod
59 de de 61 ADP case
60 a o 61 DET det
61 vereadora vereador 58 NOUN nmod
62 de de 64 ADP case
63 o o 64 DET det
64 rio rio 61 NOUN nmod
65 de de 66 ADP case
66 janeiro janeiro 64 PROPN nmod
67 marielle marielle 61 NOUN appos
68 franco franco 67 ADJ flat
69 em em 71 ADP case
70 a o 71 DET det
71 quarta quarta 67 PROPN nmod
72 14 14 71 NUM nmod
73 a o 74 DET det
74 organizacao organizacao 75 NOUN nsubj
75 estima estimar 2 VERB parataxis
76 que que 81 CCONJ mark
77 cerca cerca 79 ADV advmod
78 de de 77 ADP case
79 150 150 80 NUM nummod
80 pessoas pessoa 81 NOUN nsubj
81 participaram participar 75 VERB ccomp
82 de de 84 ADP case
83 o o 84 DET det
84 ato ato 81 NOUN nmod
85 a o 86 DET det
86 policia policia 89 NOUN nsubj
87 militar militar 86 ADJ amod
88 nao nao 89 ADV advmod
89 divulgou divulgar 81 VERB conj
90 o o 91 DET det
91 numero numero 89 NOUN obj
92 de de 93 ADP case
93 participantes participante 91 NOUN nmod
94 com com 95 ADP case
95 cartazes cartaz 89 NOUN nmod
96 e e 97 CCONJ cc
97 bandeiras bandeira 95 NOUN conj
98 com com 100 ADP case
99 os o 100 DET det
100 dizeres dizer 117 NOUN nmod
101 marielle marielle 100 NOUN appos
102 presente presente 101 ADJ amod
103 contra contra 105 ADP case
104 o o 105 DET det
105 genocidio genocidio 102 NOUN nmod
106 de de 108 ADP case
107 o o 108 DET det
108 povo povo 105 NOUN nmod
109 e e 113 CCONJ cc
110 nao nao 113 ADV advmod
111 em em 113 ADP case
112 os o 113 DET det
113 calarao calarao 105 NOUN conj
114 os o 115 DET det
115 manifestantes manifestante 117 NOUN nsubj
116 se se 117 PRON obj
117 reuniram reunir 75 VERB conj
118 em em 120 ADP case
119 a o 120 DET det
120 praca praca 117 NOUN nmod
121 de de 123 ADP case
122 o o 123 DET det
123 mercado mercado 120 NOUN nmod
124 e e 125 CCONJ cc
125 subiram subir 117 VERB conj
126 a o 127 DET det
127 avenida avenida 125 NOUN obj
128 sao sao 127 NOUN appos
129 carlos carlo 127 NOUN flat
130 ate ate 132 ADP case
131 a o 132 DET det
132 praca praca 125 NOUN nmod
133 de de 135 ADP case
134 os o 135 DET det
135 pombos pombo 132 NOUN nmod
136 o o 135 DET det
