1 aviao aviao 5 NOUN nsubj
2 com com 3 ADP case
3 aecio aecio 1 NOUN nmod
4 neves neve 3 ADJ amod
5 faz fazer 0 VERB root
6 pouso pouso 5 NOUN obj
7 de de 8 ADP case
8 emergencia emergencia 6 NOUN nmod
9 em em 10 ADP case
10 guarulhos guarulho 5 NOUN nmod
11 jatinho jatinho 10 NOUN appos
12 que que 13 PRON nsubj
13 transportava transportar 11 VERB acl:relcl
14 o o 15 DET det
15 senador senador 13 NOUN obj
16 de de 17 ADP case
17 brasilia brasilia 15 NOUN nmod
18 solicitou solicitar 5 VERB parataxis
19 prioridade prioridade 18 NOUN obj
20 a a 22 ADP case
21 o o 22 DET det
22 aeroporto aeroporto 18 NOUN nmod
23 de de 24 ADP case
24 cumbica cumbica 22 NOUN nmod
25 em em 26 ADP case
26 guarulhos guarulho 5 NOUN nmod
27 em em 29 ADP case
28 a o 29 DET det
29 noite noite 5 NOUN nmod
30 desta desta 31 ADP case
31 quintafeira quintafeira 29 NOUN nmod
32 9 9 31 NUM appos
33 e e 34 CCONJ cc
34 teve ter 5 VERB conj
35 o o 36 DET det
36 pedido pedido 34 NOUN obj
37 atendido atendido 34 ADJ xcomp
38 nenhum nenhum 49 PRON nsubj
39 de de 41 ADP case
40 os o 41 DET det
41 passageiros passageiro 38 NOUN nmod
42 e e 45 CCONJ cc
43 de de 45 ADP case
44 os o 45 DET det
45 membros membro 41 NOUN conj
46 de de 48 ADP case
47 a o 48 DET det
48 tripulacao tripulacao 45 NOUN nmod
49 ficou ficar 5 VERB conj
50 ferido ferido 49 ADJ xcomp
51 um um 52 DET det
52 jatinho jatinho 49 NOUN nsubj
53 que que 54 PRON nsubj
54 transportava transportar 52 VERB acl:relcl
55 o o 56 DET det
56 senador senador 54 NOUN obj
57 aecio aecio 56 NOUN appos
58 neves neve 57 ADJ flat
59 psdbmg psdbmg 57 NOUN flat
60 fez fazer 5 VERB parataxis
61 um um 62 DET det
62 pouso pouso 60 NOUN obj
63 de de 64 ADP case
64 emergencia emergencia 62 NOUN nmod
65 em em 67 ADP case
66 o o 67 DET det
67 aeroporto aeroporto 60 NOUN nmod
68 de de 69 ADP case
69 cumbica cumbica 67 NOUN nmod
70 em em 71 ADP case
71 guarulhos guarulho 60 NOUN nmod
72 em em 74 ADP case
73 a o 74 DET det
74 noite noite 60 NOUN nmod
75 desta desta 76 ADP case
76 quintafeira quintafeira 74 NOUN nmod
77 9 9 76 NUM nmod
78 a o 79 DET det
79 aeronave aeronave 80 NOUN nsubj
80 solicitou solicitar 5 VERB parataxis
81 prioridade prioridade 80 NOUN obj
82 e e 83 CCONJ cc
83 teve ter 80 VERB conj
84 o o 85 DET det
85 pedido pedido 83 NOUN obj
86 atendido atender 85 VERB acl
87 tendo tendo 88 AUX aux
88 pousado pousar 83 VERB acl
89 com com 90 ADP case
90 sucesso sucesso 88 NOUN nmod
91 segundo segundo 92 CCONJ mark
92 informou informar 80 VERB advcl
93 a o 94 DET det
94 gru gru 92 NOUN nsubj
95 airport airport 94 NOUN flat
96 empresa empresa 94 NOUN appos
97 que que 98 PRON nsubj
98 administra administrar 94 VERB acl:relcl
99 o o 100 DET det
100 aeroporto aeroporto 98 NOUN obj
101 nenhum nenhum 98 PRON nsubj
102 de de 104 ADP case
103 os o 104 DET det
104 passageiros passageiro 101 NOUN nmod
105 e e 108 CCONJ cc
106 de de 108 ADP case
107 os o 108 DET det
108 membros membro 104 NOUN conj
109 de de 111 ADP case
110 a o 111 DET det
111 tripulacao tripulacao 108 NOUN nmod
112 ficou ficar 80 VERB parataxis
113 ferido ferido 112 ADJ xcomp
114 o o 115 DET det
115 aparato aparato 112 NOUN nsubj
116 de de 104 ADP case
