1 entenda entender 0 VERB root
2 as o 3 DET det
3 acusacoes acusacoe 1 NOUN obj
4 contra contra 6 ADP case
5 o o 6 DET det
6 expresidente expresidente 3 NOUN nmod
7 lula lula 6 ADJ amod
8 e e 11 CCONJ cc
9 o o 11 DET det
10 que que 11 PRON obj
11 diz dizer 1 VERB conj
12 a o 13 DET det
13 defesa defesa 11 NOUN nsubj
14 petista petista 13 NOUN amod
15 vai ir 51 AUX aux
16 prestar prestar 1 VERB conj
17 o o 19 DET det
18 primeiro primeiro 19 ADJ amod
19 depoimento depoimento 51 NOUN obj
20 em em 22 ADP case
21 a o 22 DET det
22 condicao condicao 51 NOUN nmod
23 de de 24 ADP case
24 reu reu 22 NOUN nmod
25 de de 27 ADP case
26 a o 27 DET det
27 lava lava 22 NOUN nmod
28 jato jato 27 NOUN amod
29 e e 32 CCONJ cc
30 em em 32 ADP case
31 a o 32 DET det
32 presenca presenca 22 NOUN conj
33 de de 35 ADP case
34 o o 35 DET det
35 juiz juiz 32 NOUN nmod
36 sergio sergio 35 NOUN amod
37 moro moro 35 NOUN flat
38 nesta nesta 39 ADP case
39 quartafeira quartafeira 51 NOUN nmod
40 10 10 39 NUM appos
41 o o 42 DET det
42 expresidente expresidente 51 NOUN nsubj
43 luiz luiz 42 NOUN appos
44 inacio inacio 43 NOUN flat
45 lula lula 43 NOUN flat
46 de de 48 ADP case
47 a o 48 DET det
48 silva silva 43 NOUN nmod
49 pt pt 48 PROPN appos
50 vai ir 51 AUX aux
51 prestar prestar 1 VERB conj
52 depoimento depoimento 51 NOUN obj
53 nesta nesta 54 ADP case
54 quartafeira quartafeira 51 NOUN nmod
55 10 10 54 NUM appos
56 a a 58 ADP case
57 o o 58 DET det
58 juiz juiz 51 NOUN iobj
59 sergio sergio 58 ADJ amod
60 moro moro 58 NOUN flat
61 em em 62 ADP case
62 um um 51 PRON nmod
63 de de 65 ADP case
64 os o 65 DET det
65 processos processo 62 NOUN nmod
66 que que 67 PRON nsubj
67 responde responder 65 VERB acl:relcl
68 em em 70 ADP case
69 a o 70 DET det
70 lava lava 67 NOUN nmod
71 jato jato 70 NOUN flat
72 e e 75 CCONJ cc
73 a o 75 DET det
74 primeira primeiro 75 ADJ amod
75 vez vez 51 NOUN conj
76 que que 80 PRON dep
77 o o 78 DET det
78 petista petista 80 NOUN nsubj:pass
79 e e 80 AUX aux:pass
80 interrogado interrogar 75 VERB acl:relcl
81 em em 83 ADP case
82 a o 83 DET det
83 presenca presenca 80 NOUN nmod
84 de de 85 ADP case
85 moro moro 83 NOUN nmod
86 e e 89 CCONJ cc
87 em em 89 ADP case
88 a o 89 DET det
89 condicao condicao 83 NOUN conj
90 de de 91 ADP case
91 reu reu 89 NOUN nmod
92 em em 94 ADP case
93 a o 94 DET det
94 operacao operacao 89 NOUN nmod
95 a o 96 DET det
96 audiencia audiencia 94 NOUN appos
97 e e 100 CCONJ cc
98 de de 100 ADP case
99 o o 100 DET det
100 processo processo 62 NOUN conj
101 sobre sobre 103 ADP case
102 um um 103 DET det
103 triplex triplex 100 NOUN nmod
104 em em 105 ADP case
105 guaruja guaruja 100 NOUN nmod
106 sp sp 105 ADJ amod
107 que que 113 PRON dep
108 o o 109 DET det
109 ministerio ministerio 113 NOUN nsubj
110 publico publico 109 ADJ amod
111 federal federal 109 ADJ amod
112 mpf mpf 109 NOUN appos
113 afirma afirmar 75 VERB acl:relcl
114 que que 116 CCONJ mark
115 lula lula 116 NOUN nsubj
116 receberia receber 113 VERB ccomp
117 como como 118 ADP case
118 vantagem vantagem 116 NOUN nmod
119 indevida indevido 118 ADJ amod
120 de de 122 ADP case
121 a o 122 DET det
122 empreiteira empreiteiro 118 NOUN nmod
123 oas oas 127 CCONJ cc
124 a o 125 DET det
125 empresa empresa 127 NOUN nsubj
126 teria ter 127 AUX aux
127 feito feito 113 VERB ccomp
128 reformas reforma 127 NOUN obj
129 neste neste 131 ADP case
130 mesmo mesmo 131 ADJ amod
131 imovel imovel 127 NOUN nmod
132 para para 133 ADP mark
133 receber receber 127 VERB advcl
134 a o 135 DET det
135 familia familia 133 NOUN obj
136 de de 137 ADP case
137 lula lula 135 NOUN nmod
138 em em 139 ADP case
139 troca troca 142 NOUN nmod
140 o o 141 DET det
141 expresidente expresidente 142 NOUN nsubj
142 atuaria atuar 127 VERB advcl
143 em em 144 ADP case
144 favor favor 142 NOUN nmod
145 de de 147 ADP case
146 a o 147 DET det
147 oas oas 144 NOUN nmod
148 a o 149 DET det
149 defesa defesa 142 NOUN nsubj
150 de de 152 ADP case
151 o o 152 DET det
152 expresidente expresidente 149 NOUN nmod
153 nega negar 113 VERB ccomp
154 as o 155 DET det
155 acusacoes acusacoe 153 NOUN obj
