1 selecao selecao 7 NOUN nsubj
2 de de 3 ADP case
3 acougueiros acougueiro 1 NOUN nmod
4 de de 6 ADP case
5 o o 6 DET det
6 brasil brasil 1 NOUN nmod
7 disputa disputar 0 VERB root
8 copa copa 7 NOUN obj
9 de de 11 ADP case
10 o o 11 DET det
11 mundo mundo 8 NOUN nmod
12 de de 14 ADP case
13 a o 14 DET det
14 carne carne 8 NOUN nmod
15 e e 16 CCONJ cc
16 tenta tentar 7 VERB conj
17 evitar evitar 16 VERB xcomp
18 novo novo 19 ADJ amod
19 7 7 17 NUM obj
20 a a 21 ADP case
21 1 1 19 NUM nmod
22 competicao competicao 17 NOUN obj
23 que que 24 PRON nsubj
24 reune reunar 22 VERB acl:relcl
25 times time 24 NOUN obj
26 de de 28 ADP case
27 14 14 28 NUM nummod
28 paises paise 25 NOUN nmod
29 em em 31 ADP case
30 a o 31 DET det
31 irlanda irlanda 24 NOUN nmod
32 recebera receber 24 VERB parataxis
33 por por 36 ADP case
34 a o 36 DET det
35 primeira primeiro 36 ADJ amod
36 vez vez 32 NOUN nmod
37 uma um 38 DET det
38 equipe equipe 32 NOUN obj
39 brasileira brasileiro 38 ADJ amod
40 acougueiros acougueiro 38 NOUN appos
41 sonham sonhar 32 VERB parataxis
42 com com 43 ADP case
43 reconhecimento reconhecimento 41 NOUN nmod
44 e e 45 CCONJ cc
45 criacao criacao 43 NOUN conj
46 de de 47 ADP case
47 curso curso 45 NOUN nmod
48 superior superior 47 ADJ amod
49 se se 56 CCONJ mark
50 em em 52 ADP case
51 o o 52 DET det
52 futebol futebol 41 NOUN nmod
53 o o 54 DET det
54 brasil brasil 56 NOUN nsubj
55 e e 56 AUX cop
56 um um 41 PRON advcl
57 de de 59 ADP case
58 os o 59 DET det
59 favoritos favorito 56 NOUN nmod
60 a a 61 ADP mark
61 conquistar conquistar 59 VERB nmod
62 o o 63 DET det
63 hexacampeonato hexacampeonato 61 NOUN obj
64 e e 66 CCONJ cc
65 o o 66 DET det
66 titulo titulo 63 NOUN conj
67 de de 69 ADP case
68 a o 69 DET det
69 copa copa 66 NOUN nmod
70 de de 72 ADP case
71 a o 72 DET det
72 russia russia 69 NOUN nmod
73 em em 74 ADP case
74 2018 2018 166 NUM nmod
75 em em 77 ADP case
76 outro outro 77 DET det
77 mundial mundial 180 NOUN nmod
78 o o 79 DET det
79 pais pais 180 NOUN nsubj
80 sera sera 7 VERB conj
81 debutante debutante 80 ADJ xcomp
82 e e 66 CCONJ cc
83 um um 84 DET det
84 franco franco 63 NOUN conj
85 azarao azarao 84 ADJ flat
86 o o 88 DET det
87 the the 88 DET det
88 world world 188 NOUN appos
89 butchers butchers 88 NOUN flat
90 challenge challenge 88 NOUN flat
91 desafio desafio 88 NOUN appos
92 mundial mundial 91 ADJ amod
93 de de 94 ADP case
94 acougueiros acougueiro 91 NOUN nmod
95 sera sera 98 AUX cop
96 a o 98 DET det
97 primeira primeiro 98 ADJ amod
98 vez vez 7 NOUN parataxis
99 que que 102 PRON obj
100 o o 101 DET det
101 brasil brasil 102 NOUN nsubj
102 tera tar 98 VERB acl:relcl
103 uma um 104 DET det
104 equipe equipe 102 NOUN obj
105 em em 108 ADP case
106 a o 108 DET det
107 maior maior 108 ADJ amod
108 competicao competicao 104 NOUN nmod
109 de de 111 ADP case
110 o o 111 DET det
111 tipo tipo 108 NOUN nmod
112 em em 114 ADP case
113 o o 114 DET det
114 mundo mundo 203 NOUN nmod
115 sao sao 98 VERB acl:relcl
116 250 250 117 NUM nummod
117 competidores competidor 115 NOUN nsubj
118 de de 120 ADP case
119 14 14 120 NUM nummod
120 paises paise 117 NOUN nmod
121 que que 122 PRON nsubj
122 disputarao disputar 117 VERB acl:relcl
123 o o 124 DET det
124 titulo titulo 122 NOUN obj
125 de de 126 ADP case
126 pais pais 124 NOUN nmod
127 de de 129 ADP case
128 a o 129 DET det
129 carne carne 126 NOUN nmod
130 o o 131 DET det
131 torneio torneio 133 NOUN nsubj:pass
132 sera sera 133 AUX aux:pass
133 realizado realizar 98 VERB acl:relcl
134 entre entre 136 ADP case
135 os o 136 DET det
136 dias dia 133 NOUN nmod
137 20 20 136 NUM nmod
138 e e 139 CCONJ cc
139 22 22 137 NUM conj
140 de de 141 ADP case
141 marco marco 137 PROPN nmod
142 em em 144 ADP case
143 o o 144 DET det
144 centro centro 214 NOUN nmod
145 de de 146 ADP case
146 exibicao exibicao 144 NOUN nmod
147 titanic titanic 146 ADJ amod
148 em em 149 ADP case
149 belfast belfast 166 NOUN nmod
150 irlanda irlando 149 ADJ amod
151 com com 154 ADP case
152 apenas apenas 153 ADV advmod
153 seis seis 154 NUM nummod
154 pessoas pessoa 32 NOUN nmod
155 a o 156 DET det
156 equipe equipe 41 NOUN nsubj
157 brasileira brasileiro 156 ADJ amod
158 sera sera 159 AUX cop
159 uma uma 7 PRON parataxis
160 de de 162 ADP case
161 as o 162 DET det
162 menores menores 159 NOUN nmod
163 de de 165 ADP case
164 a o 165 DET det
165 competicao competicao 162 NOUN nmod
166 criado criar 165 VERB acl
167 em em 168 ADP case
168 2011 2011 166 NUM nmod
169 por por 171 ADP case
170 um um 171 DET det
171 grupo grupo 166 NOUN nmod
172 de de 173 ADP case
173 acougueiros acougueiro 171 NOUN nmod
174 ingleses inglês 173 ADJ amod
175 o o 176 DET det
176 desafio desafio 180 NOUN nsubj
177 de de 179 ADP case
178 os o 179 DET det
179 acougueiros acougueiro 176 NOUN nmod
180 busca buscar 159 VERB parataxis
181 a o 182 DET det
182 integracao integracao 180 NOUN obj
183 de de 185 ADP case
184 diferentes diferentes 185 DET det
185 escolas escola 182 NOUN nmod
186 de de 188 ADP case
187 o o 188 DET det
188 manuseio manuseio 185 NOUN nmod
189 e e 190 CCONJ cc
190 consumo consumo 188 NOUN conj
191 de de 192 ADP case
192 carne carne 69 NOUN nmod
193 o o 194 DET det
194 desafio desafio 195 NOUN nsubj
195 tem ter 7 VERB parataxis
196 um um 197 DET det
197 conjunto conjunto 195 NOUN obj
198 de de 199 ADP case
199 regras regra 197 NOUN nmod
200 que que 203 PRON nsubj:pass
201 deve dever 203 AUX aux
202 ser ser 203 AUX aux:pass
203 seguido seguir 197 VERB acl:relcl
204 por por 206 ADP case
205 os o 206 DET det
206 participantes participante 203 NOUN nmod
207 mas mas 231 CCONJ cc
208 a a 210 ADP case
209 o o 210 DET det
210 contrario contrario 203 NOUN nmod
211 de de 214 ADP case
212 o o 214 DET det
213 que que 214 PRON nsubj
214 ocorre ocorrer 210 VERB nmod
215 em em 217 ADP case
216 o o 217 DET det
217 futebol futebol 214 NOUN nmod
218 em em 220 ADP case
