1 delacoes delacoe 6 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 odebrecht odebrecht 1 NOUN nmod
5 petrobras petrobra 4 NOUN flat
6 fez fazer 0 VERB root
7 pressao pressao 6 NOUN obj
8 para para 9 ADP mark
9 incluir incluir 6 VERB advcl
10 oas oas 9 NOUN obj
11 em em 12 ADP case
12 consorcio consorcio 9 NOUN nmod
13 para para 14 ADP case
14 obras obra 12 NOUN nmod
15 de de 17 ADP case
16 a o 17 DET det
17 repar repar 14 NOUN nmod
18 exexecutivos exexecutivo 17 NOUN amod
19 disseram dizer 6 VERB parataxis
20 que que 35 CCONJ mark
21 funcionarios funcionario 35 NOUN nsubj
22 de de 24 ADP case
23 a o 24 DET det
24 diretoria diretoria 21 NOUN nmod
25 de de 26 ADP case
26 engenharia engenharia 24 NOUN nmod
27 e e 28 CCONJ cc
28 servicos servico 26 NOUN conj
29 e e 31 CCONJ cc
30 de de 31 ADP case
31 abastecimento abastecimento 26 NOUN conj
32 de de 34 ADP case
33 a o 34 DET det
34 petrobras petrobra 24 NOUN nmod
35 receberam receber 19 VERB ccomp
36 vantagens vantagem 35 NOUN obj
37 por por 38 ADP case
38 contrato contrato 35 NOUN nmod
39 celebrado celebrar 38 VERB acl
40 por por 42 ADP case
41 o o 42 DET det
42 consorcio consorcio 39 NOUN nmod
43 de de 45 ADP case
44 a o 45 DET det
45 odebrecht odebrecht 42 PROPN nmod
46 com com 47 ADP case
47 utc utc 39 PROPN nmod
48 e e 54 CCONJ cc
49 oas oas 50 DET det
50 exexecutivos exexecutivo 54 NOUN nsubj
51 de de 53 ADP case
52 a o 53 DET det
53 odebrecht odebrecht 50 NOUN nmod
54 relataram relatar 6 VERB conj
55 em em 56 ADP case
56 delacao delacao 54 NOUN nmod
57 premiada premiar 56 VERB acl
58 em em 60 ADP case
59 a o 60 DET det
60 operacao operacao 57 NOUN nmod
61 lava lava 60 NOUN appos
62 jato jato 60 NOUN flat
63 que que 68 CCONJ mark
64 funcionarios funcionario 68 NOUN nsubj
65 de de 67 ADP case
66 a o 67 DET det
67 petrobras petrobra 64 NOUN nmod
68 pressionaram pressionar 54 VERB ccomp
69 a o 70 DET det
70 utc utc 68 NOUN obj
71 e e 73 CCONJ cc
72 a o 73 DET det
73 odebrecht odebrecht 70 NOUN conj
74 para para 78 ADP mark
75 que que 74 CCONJ fixed
76 a o 77 DET det
77 oas oas 78 PRON nsubj
78 integrasse integrar 68 VERB advcl
79 um um 80 DET det
80 consorcio consorcio 78 NOUN obj
81 que que 83 PRON nsubj
82 posteriormente posteriormente 83 ADV advmod
83 firmou firmar 80 VERB acl:relcl
84 contrato contrato 83 NOUN obj
85 para para 86 ADP case
86 execucao execucao 84 NOUN nmod
87 de de 88 ADP case
88 obras obra 86 NOUN nmod
89 em em 91 ADP case
90 a o 91 DET det
91 refinaria refinaria 86 NOUN nmod
92 getulio getulio 91 NOUN appos
93 vargas vargas 92 NOUN flat
94 repar repar 91 NOUN appos
95 em em 96 ADP case
96 araucaria araucaria 83 NOUN nmod
97 em em 99 ADP case
98 a o 99 DET det
99 regiao regiao 96 NOUN nmod
100 metropolitana metropolitano 99 ADJ amod
101 de de 102 ADP case
102 curitiba curitiba 99 NOUN nmod
103 a a 104 ADP case
104 principio principio 83 NOUN nmod
105 apenas apenas 106 ADV advmod
106 odebrecht odebrecht 109 PROPN nsubj
107 e e 108 CCONJ cc
108 utc utc 106 NOUN conj
109 fariam fazer 80 VERB acl:relcl
110 parte parte 109 NOUN obj
111 de de 113 ADP case
112 o o 113 DET det
113 contrato contrato 110 NOUN nmod
114 com com 115 ADP case
115 65 65 113 NUM nmod
116 e e 117 CCONJ cc
117 35 35 115 NUM conj
118 de de 119 ADP case
119 participacao participacao 99 NOUN nmod
120 respectivamente respectivamente 109 ADV advmod
121 o o 122 DET det
122 contrato contrato 124 NOUN nsubj:pass
123 foi foi 124 AUX aux:pass
124 celebrado celebrar 19 VERB ccomp
125 em em 126 ADP case
126 agosto agosto 124 PROPN nmod
127 de de 128 ADP case
128 2007 2007 126 NUM nmod
129 entre entre 131 ADP case
130 a o 131 DET det
131 petrobras petrobra 124 NOUN nmod
132 e e 134 CCONJ cc
133 o o 134 DET det
134 consorcio consorcio 131 NOUN conj
135 conpar conpar 134 ADJ amod
136 integrado integrar 134 VERB acl
137 por por 139 ADP case
138 as o 139 DET det
139 construtoras construtor 136 NOUN nmod
140 odebrecht odebrecht 139 PROPN appos
141 utc utc 140 PROPN appos
142 e e 143 CCONJ cc
143 oas oas 140 NOUN conj
144 com com 145 ADP case
145 valor valor 39 NOUN nmod
146 de de 147 ADP case
147 r r 145 NOUN nmod
148 18 18 149 NUM nummod
149 bilhao bilhao 147 NUM nummod
150 conforme conforme 151 ADP case
151 relatorio relatorio 54 NOUN nmod
152 de de 153 ADP case
153 comissao comissao 151 NOUN nmod
154 interna interno 153 ADJ amod
155 de de 156 ADP case
156 apuracao apuracao 153 NOUN nmod
157 cia cia 156 NOUN flat
158 de de 160 ADP case
159 a o 160 DET det
160 estatal estatal 156 NOUN nmod
161 o o 162 DET det
162 contrato contrato 163 NOUN nsubj
163 teve ter 54 VERB parataxis
164 28 28 165 NUM nummod
165 aditivos aditivo 163 NOUN obj
166 acrescimo acrescimo 163 NOUN obj
167 de de 168 ADP case
168 prazo prazo 166 NOUN nmod
169 de de 173 ADP case
170 mais mais 172 ADV advmod
171 de de 170 ADP case
172 dois dois 173 NUM nummod
173 anos ano 168 NOUN nmod
174 e e 175 CCONJ cc
175 meio meio 173 NOUN conj
176 e e 177 CCONJ cc
177 valor valor 166 NOUN conj
178 final final 177 ADJ amod
179 de de 182 ADP case
180 mais mais 172 ADV advmod
181 de de 180 ADP case
182 r r 177 NOUN nmod
183 25 25 184 NUM nummod
