1 rejeicao rejeicao 2 NOUN nsubj
2 recebeu receber 0 VERB root
3 apoio apoio 2 NOUN obj
4 de de 5 ADP case
5 deputados deputado 3 NOUN nmod
6 proimpeachment proimpeachment 5 NOUN amod
7 de de 10 ADP case
8 os o 10 DET det
9 263 263 10 NUM nummod
10 votos voto 5 NOUN nmod
11 para para 12 ADP mark
12 barrar barrar 2 VERB advcl
13 andamento andamento 12 NOUN obj
14 de de 16 ADP case
15 o o 16 DET det
16 processo processo 13 NOUN nmod
17 contra contra 18 ADP case
18 temer temer 16 NOUN nmod
19 802 802 20 NUM nsubj
20 foram foram 2 VERB parataxis
21 de de 22 ADP case
22 parlamentares parlamentar 20 NOUN nmod
23 favoraveis favoravel 22 ADJ amod
24 a a 26 ADP case
25 o o 26 DET det
26 afastamento afastamento 23 NOUN nmod
27 de de 28 ADP case
28 dilma dilma 26 NOUN nmod
29 a o 30 DET det
30 suspensao suspensao 141 NOUN nsubj
31 de de 33 ADP case
32 o o 33 DET det
33 prosseguimento prosseguimento 30 NOUN nmod
34 de de 36 ADP case
35 a o 36 DET det
36 denuncia denuncia 33 NOUN nmod
37 contra contra 39 ADP case
38 o o 39 DET det
39 presidente presidente 36 NOUN nmod
40 michel michel 39 ADJ appos
41 temer temer 39 NOUN flat
42 em em 44 ADP case
43 a o 44 DET det
44 camara camara 12 NOUN nmod
45 teve ter 2 VERB parataxis
46 o o 47 DET det
47 apoio apoio 45 NOUN obj
48 macico macico 47 ADJ amod
49 de de 51 ADP case
50 os o 51 DET det
51 deputados deputado 47 NOUN nmod
52 que que 59 PRON nsubj
53 ha ha 59 VERB advcl
54 um um 55 NUM nummod
55 ano ano 53 NOUN nmod
56 e e 58 CCONJ cc
57 tres tres 58 NUM nummod
58 meses mês 55 NOUN conj
59 autorizaram autorizar 51 VERB acl:relcl
60 o o 61 DET det
61 afastamento afastamento 59 NOUN obj
62 de de 63 ADP case
63 dilma dilma 61 NOUN nmod
64 rousseff rousseff 63 NOUN flat
65 de de 67 ADP case
66 a o 67 DET det
67 presidencia presidencia 63 NOUN nmod
68 de de 71 ADP case
69 os o 71 DET det
70 263 263 71 NUM nummod
71 votos voto 61 NOUN nmod
72 contra contra 74 ADP case
73 o o 74 DET det
74 andamento andamento 186 NOUN nmod
75 de de 77 ADP case
76 o o 77 DET det
77 processo processo 74 NOUN nmod
78 contra contra 80 ADP case
79 o o 80 DET det
80 peemedebista peemedebista 77 NOUN nmod
81 ontem ontem 186 ADV advmod
82 802 802 186 NUM nsubj
83 foram foram 51 VERB acl:relcl
84 de de 85 ADP case
85 parlamentares parlamentar 197 NOUN nmod
86 que que 87 PRON nsubj
87 apoiaram apoiar 85 VERB acl:relcl
88 o o 89 DET det
89 impeachment impeachment 87 NOUN obj
90 em em 92 ADP case
91 a o 92 DET det
92 ocasiao ocasiao 87 NOUN nmod
93 367 367 94 NUM nummod
94 deputados deputado 95 NOUN nsubj
95 votaram votar 51 VERB acl:relcl
96 por por 98 ADP case
97 a o 98 DET det
98 abertura abertura 95 NOUN nmod
99 de de 101 ADP case
100 o o 101 DET det
101 processo processo 98 NOUN nmod
102 que que 103 PRON nsubj
103 levou levar 101 VERB acl:relcl
104 a o 105 DET det
105 cassacao cassacao 103 NOUN obj
106 de de 108 ADP case
107 a o 108 DET det
108 petista petista 105 NOUN nmod
109 e e 110 CCONJ cc
110 137 137 228 NUM conj
111 contra contra 113 ADP case
112 a o 113 DET det
113 composicao composicao 110 NOUN nmod
114 de de 116 ADP case
115 a o 116 DET det
116 camara camara 113 NOUN nmod
117 mudou mudar 2 VERB conj
118 pouco pouco 120 ADV advmod
119 desde desde 120 ADP mark
120 entao entao 117 ADV nmod
121 40 40 141 NUM nsubj
122 de de 125 ADP case
123 os o 125 DET det
124 513 513 125 NUM nummod
125 parlamentares parlamentar 121 NOUN nmod
126 que que 127 PRON nsubj
127 participaram participar 125 VERB acl:relcl
128 de de 131 ADP case
129 a o 131 DET det
130 historica historico 131 ADJ amod
131 sessao sessao 127 NOUN nmod
132 de de 134 ADP case
133 o o 134 DET det
134 dia dia 131 NOUN nmod
135 17 17 134 NUM nmod
136 de de 137 ADP case
137 abril abril 135 PROPN nmod
138 de de 139 ADP case
139 2016 2016 137 NUM nmod
140 nao nao 141 ADV advmod
141 exercem exercer 2 VERB parataxis
142 mais mais 141 ADV advmod
143 o o 144 DET det
144 mandato mandato 141 NOUN obj
145 de de 146 ADP case
146 os o 144 PRON det
147 que que 148 PRON nsubj
148 entraram entrar 146 VERB acl:relcl
149 em em 151 ADP case
150 seus seus 151 DET det:poss
151 lugares lugar 148 NOUN nmod
152 22 22 153 NUM nsubj
153 votaram votar 141 VERB parataxis
154 a a 155 ADP case
155 favor favor 153 NOUN nmod
156 de de 157 ADP case
157 temer temer 155 NOUN nmod
158 o o 159 DET det
159 placar placar 153 NOUN nsubj
160 contra contra 162 ADP case
161 o o 162 DET det
162 peemedebista peemedebista 159 NOUN nmod
163 de de 165 ADP case
164 227 227 165 NUM nummod
165 votos voto 159 NOUN nmod
166 foi foi 51 VERB acl:relcl
167 maior maior 166 ADJ xcomp
168 de de 172 ADP case
169 o o 172 DET det
170 que que 168 CCONJ fixed
171 dilma dilma 172 NOUN nsubj
172 conseguiu conseguir 166 VERB advcl
173 arregimentar arregimentar 172 VERB xcomp
174 para para 175 ADP mark
175 tentar tentar 59 VERB advcl
176 barrar barrar 175 VERB xcomp
177 o o 179 DET det
178 seu seu 179 DET det:poss
179 impeachment impeachment 176 NOUN obj
180 de de 182 ADP case
181 os o 182 DET det
182 favoraveis favoravel 179 NOUN nmod
183 a a 184 ADP case
184 denuncia denuncia 182 NOUN nmod
185 101 101 186 NUM nsubj
186 votaram votar 51 VERB acl:relcl
187 contra contra 189 ADP case
188 o o 189 DET det
189 afastamento afastamento 186 NOUN nmod
190 de de 192 ADP case
191 a o 192 DET det
192 petista petista 189 NOUN nmod
193 em em 195 ADP case
194 o o 195 DET det
195 ano ano 186 NOUN nmod
196 passado passado 195 ADJ amod
197 houve haver 166 VERB parataxis
198 ainda ainda 197 ADV advmod
199 um um 201 DET det
200 pequeno pequeno 201 ADJ amod
201 grupo grupo 197 NOUN obj
202 de de 204 ADP case
203 23 23 204 NUM nummod
204 deputados deputado 201 NOUN nmod
205 que que 207 PRON nsubj
206 foi foi 207 AUX cop
207 governista governista 201 NOUN acl:relcl
208 em em 211 ADP case
209 as o 211 DET det
210 duas duas 211 NUM nummod
211 votacoes votacoe 207 NOUN nmod
212 favoravel favoravel 211 ADJ amod
213 tanto tanto 215 CCONJ cc
214 a a 215 ADP case
215 dilma dilma 212 NOUN conj
216 contra contra 218 ADP case
217 o o 218 DET det
218 impeachment impeachment 212 NOUN nmod
219 quanto quanto 221 CCONJ cc
220 a a 221 ADP case
221 temer temer 218 NOUN conj
222 o o 223 DET det
223 deputado deputado 95 NOUN nsubj
224 zeca zeca 223 NOUN appos
225 cavalcanti cavalcanti 224 NOUN flat
226 ptbpe ptbpe 224 NOUN flat
227 foi foi 228 AUX cop
228 um um 95 PRON parataxis
229 deles deles 228 X nmod
230 nao nao 231 ADV advmod
231 mudei mudar 228 VERB acl:relcl
232 de de 233 ADP case
233 lado lado 231 NOUN nmod
234 disse dizer 228 VERB conj
235 cavalcanti cavalcanti 141 NOUN nsubj
236 nao nao 238 ADV advmod
237 me me 238 PRON obj
238 arrependo arreper 234 VERB ccomp
239 de de 241 ADP mark
240 ter ter 241 AUX aux
241 votado votar 238 VERB nmod
242 contra contra 244 ADP case
243 o o 244 DET det
244 impeachment impeachment 241 NOUN nmod
245 o o 247 DET det
246 meu meu 247 DET det:poss
247 voto voto 241 NOUN nsubj
248 sobre sobre 250 ADP case
249 a o 250 DET det
250 denuncia denuncia 247 NOUN nmod
251 foi foi 234 VERB ccomp
252 por por 254 ADP case
253 o o 254 DET det
254 momento momento 251 NOUN nmod
255 que que 251 CCONJ mark
256 o o 247 DET det
