1 para para 2 ADP case
2 governo governo 5 NOUN nmod
3 ministra ministra 2 NOUN flat
4 deve dever 5 AUX aux
5 segurar segurar 0 VERB root
6 acao acao 5 NOUN obj
7 em em 9 ADP case
8 o o 9 DET det
9 tse tse 5 NOUN nmod
10 planalto planalto 9 NOUN flat
11 espera esperar 5 VERB parataxis
12 que que 13 CCONJ mark
13 luciana luciana 48 NOUN nsubj
14 lossio lossio 13 NOUN flat
15 segure segure 13 NOUN flat
16 por por 17 ADP case
17 tempo tempo 13 NOUN nmod
18 indeterminado indeterminado 17 ADJ amod
19 analise analise 13 NOUN appos
20 de de 21 ADP case
21 recurso recurso 19 NOUN nmod
22 de de 24 ADP case
23 o o 24 DET det
24 psdb psdb 21 NOUN nmod
25 que que 26 PRON nsubj
26 pede pedir 19 VERB acl:relcl
27 que que 28 CCONJ mark
28 corte corte 26 NOUN ccomp
29 de de 30 ADP case
30 continuidade continuidade 28 NOUN nmod
31 a a 32 DET case
32 acao acao 28 NOUN nmod
33 que que 35 PRON nsubj
34 pode pode 35 AUX aux
35 levar levar 32 VERB acl:relcl
36 a a 37 ADP case
37 cassacao cassacao 35 NOUN nmod
38 de de 40 ADP case
39 o o 40 DET det
40 mandato mandato 37 NOUN nmod
41 de de 42 ADP case
42 dilma dilma 40 NOUN nmod
43 e e 44 CCONJ cc
44 temer temer 42 NOUN conj
45 brasilia brasilia 48 VERB ccomp
46 o o 47 DET det
47 governo governo 48 NOUN nsubj
48 espera esperar 11 VERB ccomp
49 que que 57 CCONJ mark
50 a o 51 DET det
51 ministra ministra 57 NOUN nsubj
52 de de 54 ADP case
53 o o 54 DET det
54 tribunal tribunal 51 NOUN nmod
55 superior superior 54 ADJ amod
56 eleitoral eleitoral 54 ADJ amod
57 tse tse 48 VERB ccomp
58 luciana luciana 57 NOUN obj
59 lossio lossio 58 NOUN flat
60 segure segure 58 NOUN flat
61 por por 62 ADP case
62 tempo tempo 58 NOUN nmod
63 indeterminado indeterminado 62 ADJ amod
64 a o 65 DET det
65 analise analise 57 NOUN obj
66 de de 68 ADP case
67 o o 68 DET det
68 recurso recurso 65 NOUN nmod
69 de de 71 ADP case
70 o o 71 DET det
71 psdb psdb 68 NOUN nmod
72 que que 73 PRON nsubj
73 pede pedir 65 VERB acl:relcl
74 que que 103 CCONJ mark
75 a o 76 DET det
76 corte corte 103 NOUN nsubj
77 de de 78 ADP case
78 continuidade continuidade 76 NOUN nmod
79 a a 81 ADP case
80 uma um 81 DET det
81 acao acao 76 NOUN nmod
82 que que 84 PRON nsubj
83 pode pode 84 AUX aux
84 levar levar 81 VERB acl:relcl
85 a a 86 ADP case
86 cassacao cassacao 84 NOUN nmod
87 de de 89 ADP case
88 o o 89 DET det
89 mandato mandato 86 NOUN nmod
90 de de 92 ADP case
91 a o 92 DET det
92 presidente presidente 89 NOUN nmod
93 dilma dilma 92 ADJ amod
94 rousseff rousseff 92 NOUN appos
95 e e 98 CCONJ cc
96 de de 98 ADP case
97 seu seu 98 DET det:poss
98 vice vice 92 NOUN conj
99 michel michel 98 ADJ appos
100 temer temer 98 NOUN flat
101 a o 102 DET det
102 ministra ministra 103 NOUN nsubj
103 interrompeu interromper 73 VERB ccomp
104 anteontem anteontem 103 ADV advmod
105 com com 107 ADP case
106 um um 107 DET det
107 pedido pedido 103 NOUN nmod
108 de de 109 ADP case
109 vista vista 107 NOUN nmod
110 a a 111 ADP case
111 sessao sessao 107 NOUN nmod
112 que que 113 PRON nsubj
113 analisava analisar 111 VERB acl:relcl
114 o o 115 DET det
115 caso caso 113 NOUN obj
116 a o 117 DET det
117 avaliacao avaliacao 113 NOUN obj
118 entre entre 119 ADP case
119 liderancas lideranca 117 NOUN nmod
120 petistas petista 119 ADJ amod
121 em em 123 ADP case
122 o o 123 DET det
123 congresso congresso 119 NOUN nmod
124 e e 125 CCONJ cc
125 que que 103 CCONJ mark
126 como como 127 ADP mark
127 nao nao 125 ADV nmod
