1 delacao delacao 43 NOUN nsubj
2 de de 4 ADP case
3 a o 4 DET det
4 jbs jbs 1 NOUN nmod
5 saiba saber 4 VERB acl
6 ponto ponto 5 NOUN nmod
7 a a 8 ADP case
8 ponto ponto 6 NOUN nmod
9 o o 1 PRON appos
10 que que 12 PRON nsubj:pass
11 foi foi 12 AUX aux:pass
12 dito dito 9 VERB acl:relcl
13 sobre sobre 14 ADP case
14 membros membro 12 NOUN nmod
15 de de 17 ADP case
16 o o 17 DET det
17 pt pt 14 NOUN nmod
18 delatores delator 19 NOUN nsubj
19 citam citar 1 VERB acl:relcl
20 pagamentos pagamento 19 NOUN obj
21 a a 22 ADP case
22 campanhas campanha 20 NOUN nmod
23 compra compra 22 NOUN appos
24 de de 25 ADP case
25 apoio apoio 23 NOUN nmod
26 por por 28 ADP case
27 o o 28 DET det
28 partido partido 23 NOUN nmod
29 e e 30 CCONJ cc
30 atuacao atuacao 22 NOUN conj
31 de de 32 ADP case
32 politicos politico 30 NOUN nmod
33 para para 34 ADP mark
34 beneficiar beneficiar 30 VERB nmod
35 empresa empresa 34 NOUN obj
36 entenda entender 34 VERB parataxis
37 acusacoes acusacoe 36 NOUN obj
38 assessoria assessoria 37 NOUN appos
39 de de 41 ADP case
40 a o 41 DET det
41 expresidente expresidente 38 NOUN nmod
42 dilma dilma 41 ADJ amod
43 negou negar 0 VERB root
44 irregularidades irregularidade 43 NOUN obj
45 o o 47 DET det
46 supremo supremo 47 ADJ amod
47 tribunal tribunal 49 NOUN nsubj
48 federal federal 47 ADJ amod
49 liberou liberar 43 VERB parataxis
50 nesta nesta 51 ADP case
51 sextafeira sextafeira 49 NOUN nmod
52 19 19 51 NUM appos
53 o o 54 DET det
54 conteudo conteudo 49 NOUN obj
55 de de 57 ADP case
56 as o 57 DET det
57 delacoes delacoe 54 NOUN nmod
58 premiadas premiar 57 VERB acl
59 de de 61 ADP case
60 os o 61 DET det
61 empresarios empresario 58 NOUN nmod
62 joesley joesley 61 NOUN appos
63 e e 64 CCONJ cc
64 wesley wesley 62 NOUN conj
65 batista batista 64 ADJ amod
66 donos dono 61 NOUN appos
67 de de 69 ADP case
68 a o 69 DET det
69 jbs jbs 66 NOUN nmod
70 e e 73 CCONJ cc
71 de de 73 ADP case
72 o o 73 DET det
73 diretor diretor 69 NOUN conj
74 de de 76 ADP case
75 a o 76 DET det
76 jf jf 73 NOUN nmod
77 ricardo ricardo 73 NOUN appos
78 saud saud 77 PROPN flat
79 em em 81 ADP case
80 a o 81 DET det
81 operacao operacao 36 NOUN nmod
82 lava lava 81 NOUN appos
83 jato jato 82 NOUN flat
84 nelas nelas 81 X nmod
85 os o 86 DET det
86 executivos executivo 87 NOUN nsubj
87 citam citar 19 VERB parataxis
88 pagamentos pagamento 87 NOUN obj
89 de de 90 ADP case
90 propina propina 88 NOUN nmod
91 para para 92 ADP case
92 campanhas campanha 88 NOUN nmod
93 de de 95 ADP case
94 o o 95 DET det
95 pt pt 92 NOUN nmod
96 compra compra 61 NOUN appos
97 de de 98 ADP case
98 apoio apoio 96 NOUN nmod
99 politico politico 98 ADJ amod
100 por por 102 ADP case
101 o o 102 DET det
102 partido partido 96 NOUN nmod
103 e e 104 CCONJ cc
104 atuacao atuacao 88 NOUN conj
105 de de 106 ADP case
106 membros membro 104 NOUN nmod
107 de de 109 ADP case
108 a o 109 DET det
109 legenda legenda 106 NOUN nmod
110 em em 111 ADP case
111 beneficio beneficio 104 NOUN nmod
112 de de 114 ADP case
113 a o 114 DET det
114 empresa empresa 111 NOUN nmod
115 saiba saber 114 ADJ appos
116 abaixo abaixo 49 ADV advmod
117 ponto ponto 49 NOUN nmod
118 a a 119 ADP case
119 ponto ponto 117 NOUN nmod
120 o o 49 PRON obj
121 que que 123 PRON nsubj:pass
122 foi foi 123 AUX aux:pass
123 dito dito 120 VERB acl:relcl
124 em em 126 ADP case
125 as o 126 DET det
126 delacoes delacoe 123 NOUN nmod
127 sobre sobre 128 ADP case
128 membros membro 126 NOUN nmod
129 de de 131 ADP case
130 o o 131 DET det
131 pt pt 128 NOUN nmod
132 e e 133 CCONJ cc
133 leia ler 123 VERB conj
134 a a 136 ADP case
135 o o 136 DET det
136 final final 133 NOUN nmod
137 desta desta 138 ADP case
138 reportagem reportagem 136 NOUN nmod
139 o o 133 PRON obj
140 que que 144 PRON obj
141 os o 142 DET det
142 politicos politico 144 NOUN nsubj
143 citados citar 142 VERB acl
144 disseram dizer 139 VERB acl:relcl
145 sobre sobre 147 ADP case
146 as o 147 DET det
147 acusacoes acusacoe 144 NOUN nmod
148 apos apos 150 ADP case
149 as o 150 DET det
150 delacoes delacoe 147 NOUN nmod
151 o o 139 DET det
