1 sobe subir 0 VERB root
2 para para 4 ADP case
3 54 54 1 NUM nmod
4 n n 1 NOUN nsubj
5 de de 6 ADP case
6 casos caso 4 NOUN nmod
7 investigados investigado 6 ADJ amod
8 de de 9 ADP case
9 sarampo sarampo 6 NOUN nmod
10 em em 12 ADP case
11 o o 12 DET det
12 am am 6 NOUN nmod
13 a a 15 ADP case
14 o o 15 DET det
15 todo todo 12 NOUN nmod
16 4 4 17 NUM nummod
17 casos caso 22 NOUN nsubj:pass
18 de de 20 ADP case
19 a o 20 DET det
20 doenca doenca 17 NOUN nmod
21 foram foram 22 AUX aux:pass
22 confirmados confirmar 1 VERB parataxis
23 todos todos 22 PRON nsubj:pass
24 em em 25 ADP case
25 manaus manaus 22 NOUN nmod
26 subiu subir 1 VERB parataxis
27 para para 28 ADP case
28 54 54 26 NUM nmod
29 o o 30 DET det
30 numero numero 26 NOUN nsubj
31 de de 32 ADP case
32 casos caso 30 NOUN nmod
33 investigados investigar 32 VERB acl
34 de de 35 ADP case
35 sarampo sarampo 32 NOUN nmod
36 em em 38 ADP case
37 o o 38 DET det
38 amazonas amazona 35 NOUN nmod
39 destes destes 40 ADP case
40 53 53 41 NUM nmod
41 sao sao 26 VERB advcl
42 em em 44 ADP case
43 a o 44 DET det
44 capital capital 41 NOUN nmod
45 e e 46 CCONJ cc
46 um um 41 PRON conj
47 em em 49 ADP case
48 o o 49 DET det
49 municipio municipio 46 NOUN nmod
50 de de 51 ADP case
51 humaita humaita 49 NOUN nmod
52 a a 54 ADP case
53 590 590 54 NUM nummod
54 km km 46 NOUN nmod
55 de de 56 ADP case
56 manaus manaus 54 NOUN nmod
57 a o 58 DET det
58 informacao informacao 60 NOUN nsubj:pass
59 foi foi 60 AUX aux:pass
60 confirmarda confirmar 41 VERB conj
61 por por 63 ADP case
62 a o 63 DET det
63 secretaria secretaria 60 NOUN nmod
64 de de 65 ADP case
65 estado estado 63 NOUN nmod
66 de de 67 ADP case
67 saude saude 65 NOUN nmod
68 susam susar 60 VERB parataxis
69 nesta nesta 70 ADP case
70 tercafeira tercafeira 60 NOUN nmod
71 27 27 73 NUM nummod
72 quatro quatro 73 NUM nummod
73 casos caso 89 NOUN nsubj
74 de de 76 ADP case
75 a o 76 DET det
76 doenca doenca 73 NOUN nmod
77 foram foram 78 AUX aux:pass
78 confirmados confirmar 89 VERB parataxis
79 em em 81 ADP case
80 a o 81 DET det
81 capital capital 78 NOUN nmod
82 segundo segundo 85 ADP case
83 o o 85 DET det
84 ultimo ultimo 85 ADJ amod
85 boletim boletim 78 NOUN nmod
86 epidemiologico epidemiologico 85 ADJ amod
87 de de 88 ADP case
88 manaus manaus 85 NOUN nmod
89 sao sao 1 VERB parataxis
90 53 53 91 NUM nummod
91 casos caso 89 NOUN nsubj
92 suspeitos suspeito 91 ADJ amod
93 um um 94 DET det
94 descartado descartado 89 NOUN nsubj
95 e e 96 CCONJ cc
96 quatro quatro 94 NUM conj
97 confirmados confirmar 96 VERB acl
98 em em 100 ADP case
99 a o 100 DET det
100 capital capital 97 NOUN nmod
101 a o 102 DET det
102 fundacao fundacao 113 NOUN nsubj
103 de de 104 ADP case
104 vigilancia vigilancia 102 NOUN nmod
105 em em 106 ADP case
106 saude saude 104 NOUN nmod
107 de de 109 ADP case
108 o o 109 DET det
109 amazonas amazona 104 NOUN nmod
110 fvsam fvsar 89 VERB parataxis
111 tambem tambem 113 ADV advmod
112 esta esta 113 PRON obj
113 considerando considerar 89 VERB conj
114 como como 115 ADP mark
115 suspeito suspeito 113 ADJ nmod
116 o o 117 DET det
117 caso caso 113 NOUN obj
118 de de 120 ADP case
119 uma um 120 DET det
120 crianca crianca 117 NOUN nmod
121 de de 122 ADP case
122 um um 120 NUM nmod
