1 apos apos 2 ADP case
2 tiros tiro 11 NOUN nmod
3 em em 4 ADP case
4 onibus onibu 2 NOUN nmod
5 de de 6 ADP case
6 lula lula 4 NOUN nmod
7 deputados deputado 11 NOUN nsubj
8 de de 10 ADP case
9 o o 10 DET det
10 pt pt 7 NOUN nmod
11 cobram cobrar 14 VERB ccomp
12 jungmann jungmann 11 NOUN obj
13 petistas petista 12 NOUN amod
14 afirmam afirmar 0 VERB root
15 que que 23 CCONJ mark
16 se se 18 CCONJ mark
17 algo algo 18 PRON nsubj
18 acontecer acontecer 23 VERB advcl
19 com com 20 ADP case
20 expresidente expresidente 18 NOUN nmod
21 a o 22 DET det
22 culpa culpa 23 NOUN nsubj
23 sera sera 14 VERB ccomp
24 de de 26 ADP case
25 o o 26 DET det
26 governo governo 23 NOUN nmod
27 federal federal 26 ADJ amod
28 e e 31 CCONJ cc
29 de de 31 ADP case
30 o o 31 DET det
31 governo governo 26 NOUN conj
32 de de 34 ADP case
33 o o 34 DET det
34 parana parana 31 NOUN nmod
35 brasilia brasilia 41 NOUN nsubj
36 deputados deputado 41 NOUN nsubj
37 de de 39 ADP case
38 o o 39 DET det
39 pt pt 36 PROPN nmod
40 se se 41 PRON obj
41 reuniram reunir 14 VERB ccomp
42 com com 44 ADP case
43 o o 44 DET det
44 ministro ministro 41 NOUN nmod
45 de de 47 ADP case
46 a o 47 DET det
47 seguranca seguranca 44 NOUN nmod
48 publica publico 47 ADJ amod
49 raul raul 41 NOUN obj
50 jungmann jungmann 49 NOUN flat
51 para para 52 ADP mark
52 cobrar cobrar 41 VERB advcl
53 providencias providencias 52 NOUN obj
54 de de 56 ADP case
55 o o 56 DET det
56 governo governo 53 NOUN nmod
57 federal federal 56 ADJ amod
58 em em 59 ADP case
59 relacao relacao 52 NOUN nmod
60 a a 62 ADP case
61 os o 62 DET det
62 ataques ataque 59 NOUN nmod
63 sofridos sofrer 62 VERB acl
64 por por 66 ADP case
65 a o 66 DET det
66 caravana caravana 63 NOUN nmod
67 de de 69 ADP case
68 o o 69 DET det
69 expresidente expresidente 66 NOUN nmod
70 luiz luiz 69 ADJ appos
71 inacio inacio 70 ADJ flat
72 lula lula 70 PROPN flat
73 de de 75 ADP case
74 a o 75 DET det
75 silva silva 70 NOUN nmod
76 dois dois 77 NUM nummod
77 onibus onibus 83 NOUN nsubj:pass
78 de de 80 ADP case
79 o o 80 DET det
80 comboio comboio 77 NOUN nmod
81 petista petista 80 ADJ amod
82 foram foram 83 AUX aux:pass
83 atingidos atingir 14 VERB ccomp
84 por por 85 ADP case
85 tiros tiro 83 NOUN nmod
86 nesta nesta 87 ADP case
87 tercafeira tercafeira 83 NOUN nmod
88 27 27 90 NUM nummod
89 dois dois 90 NUM nummod
90 onibus onibu 83 NOUN nsubj:pass
91 de de 93 ADP case
92 a o 93 DET det
93 caravana caravana 90 NOUN nmod
94 de de 95 ADP case
95 lula lula 93 NOUN nmod
96 sao sao 97 AUX aux:pass
97 atingidos atingir 83 VERB parataxis
98 por por 99 ADP case
99 tiros tiro 97 NOUN nmod
100 em em 102 ADP case
101 o o 102 DET det
102 parana parana 99 NOUN nmod
103 petistas petista 105 NOUN nsubj
104 tem ter 105 AUX aux
105 dito dito 14 VERB parataxis
106 que que 109 CCONJ mark
107 se se 109 CCONJ mark
108 algo algo 109 PRON nsubj
109 acontecer acontecer 105 VERB advcl
110 com com 111 ADP case
111 lula lula 109 NOUN nmod
112 ou ou 114 CCONJ cc
113 qualquer qualquer 114 DET det
114 integrante integrante 111 NOUN conj
115 de de 117 ADP case
116 a o 117 DET det
117 caravana caravana 114 NOUN nmod
