1 inspirada inspirar 7 VERB acl
2 em em 3 ADP case
3 disciplina disciplina 1 NOUN nmod
4 de de 6 ADP case
5 a o 6 DET det
6 unb unb 3 NOUN nmod
7 ufg ufg 8 NOUN nsubj
8 oferece oferecer 0 VERB root
9 curso curso 8 NOUN obj
10 de de 11 ADP case
11 extensao extensao 9 NOUN nmod
12 que que 13 PRON nsubj
13 trata tratar 9 VERB acl:relcl
14 o o 15 DET det
15 impeachment impeachment 13 NOUN obj
16 de de 17 ADP case
17 dilma dilma 15 NOUN nmod
18 como como 20 ADP case
19 o o 20 DET det
20 golpe golpe 15 NOUN nmod
21 de de 22 ADP case
22 2016 2016 20 NUM nmod
23 ciclo ciclo 27 NOUN nsubj:pass
24 de de 25 ADP case
25 debates debate 23 NOUN nmod
26 foi foi 27 AUX aux:pass
27 criado criar 8 VERB parataxis
28 apos apos 32 CCONJ mark
29 o o 30 DET det
30 mec mec 32 NOUN nsubj
31 se se 32 PRON obj
32 manifestar manifestar 58 VERB advcl
33 contra contra 34 ADP case
34 disciplina disciplina 32 NOUN nmod
35 ofertada ofertar 34 VERB acl
36 por por 38 ADP case
37 a o 38 DET det
38 unb unb 35 PROPN nmod
39 ufg ufg 38 PROPN appos
40 diz dizer 27 VERB parataxis
41 que que 43 CCONJ mark
42 assunto assunto 43 NOUN nsubj
43 respeita respeitar 40 VERB ccomp
44 a o 45 DET det
45 pluralidade pluralidade 43 NOUN obj
46 de de 47 ADP case
47 ideias ideia 45 NOUN nmod
48 discute discutir 43 VERB parataxis
49 grandes grande 50 ADJ amod
50 questoes questoe 48 NOUN obj
51 publicas publico 50 ADJ amod
52 a o 53 DET det
53 universidade universidade 58 NOUN nsubj
54 federal federal 53 ADJ amod
55 de de 56 ADP case
56 goias goia 53 NOUN nmod
57 ufg ufg 77 PRON appos
58 oferece oferecer 27 VERB parataxis
59 ate ate 61 ADP case
60 o o 61 DET det
61 dia dia 58 NOUN nmod
62 26 26 61 NUM nmod
63 de de 64 ADP case
64 junho junho 62 PROPN nmod
65 em em 66 ADP case
66 goiania goiania 58 NOUN nmod
67 o o 68 DET det
68 curso curso 58 NOUN obj
69 de de 70 ADP case
70 extensao extensao 68 NOUN nmod
71 o o 72 DET det
72 golpe golpe 68 NOUN appos
73 de de 74 ADP case
74 2016 2016 72 NUM nmod
75 e e 80 CCONJ cc
76 a o 77 DET det
77 universidade universidade 58 NOUN nsubj
78 publica publico 77 ADJ amod
79 brasileira brasileiro 77 ADJ amod
80 tratase tratar 27 VERB conj
81 de de 83 ADP case
82 um um 83 DET det
83 ciclo ciclo 80 NOUN nmod
84 de de 85 ADP case
85 debates debate 83 NOUN nmod
86 criado criar 83 VERB acl
87 por por 89 ADP case
88 a o 89 DET det
89 instituicao instituicao 86 NOUN nmod
90 apos apos 97 ADP mark
91 o o 92 DET det
92 ministerio ministerio 97 NOUN nsubj
93 de de 95 ADP case
94 a o 95 DET det
95 educacao educacao 92 NOUN nmod
96 se se 97 PRON obj
97 manifestar manifestar 58 VERB advcl
98 contra contra 100 ADP case
99 uma um 100 DET det
100 disciplina disciplina 97 NOUN nmod
101 ofertada ofertar 100 VERB acl
102 por por 104 ADP case
103 a o 104 DET det
104 universidade universidade 101 NOUN nmod
105 de de 106 ADP case
106 brasilia brasilia 104 NOUN nmod
107 unb unb 100 PROPN appos
108 que que 109 PRON nsubj
109 chamava chamar 107 VERB acl:relcl
110 o o 111 DET det
111 impeachment impeachment 109 NOUN obj
112 de de 114 ADP case
113 a o 114 DET det
114 expresidente expresidente 111 NOUN nmod
115 dilma dilma 114 ADJ appos
116 rousseff rousseff 115 NOUN flat
117 de de 118 ADP case
118 golpe golpe 115 NOUN nmod
119 em em 120 ADP case
120 entrevista entrevista 97 NOUN nmod
121 a a 123 ADP case
122 o o 123 DET det
123 g1 g1 120 PROPN nmod
124 o o 125 DET det
125 professor professor 136 NOUN nsubj
126 adao adao 125 NOUN appos
127 jose jose 126 NOUN flat
128 peixoto peixoto 126 NOUN flat
129 responsavel responsavel 125 ADJ amod
130 por por 132 ADP case
131 o o 132 DET det
132 curso curso 129 NOUN nmod
133 em em 135 ADP case
134 a o 135 DET det
135 ufg ufg 132 NOUN nmod
136 disse dizer 40 VERB ccomp
137 que que 155 CCONJ mark
138 o o 139 DET det
139 fato fato 155 NOUN nsubj
140 de de 144 ADP mark
141 o o 142 DET det
142 mec mec 144 NOUN nsubj
143 ter ter 144 AUX aux
144 questionado questionar 139 VERB nmod
145 o o 146 DET det
146 conteudo conteudo 144 NOUN obj
147 oferecido oferecer 146 VERB acl
148 em em 150 ADP case
149 uma um 150 DET det
150 instituicao instituicao 147 NOUN nmod
151 de de 152 ADP case
152 ensino ensino 150 NOUN nmod
153 superior superior 152 ADJ amod
154 foi foi 155 AUX cop
155 algo algo 136 PRON ccomp
