1 veja 0 VERB root
2 os 4 DET det
3 principais 4 ADJ amod
4 trechos 1 NOUN obj
5 de 7 ADP case
6 o 7 DET det
7 julgamento 4 NOUN nmod
8 de 9 ADP case
9 lula 7 NOUN nmod
10 em 12 ADP case
11 o 12 DET det
12 trf4 7 NOUN nmod
13 em 14 ADP case
14 porto 1 PROPN nmod
15 alegre 14 ADJ amod
16 primeiro 17 ADJ amod
17 desembargador 21 NOUN nsubj
18 pedro 17 NOUN appos
19 gebran 17 NOUN appos
20 neto 18 ADJ amod
21 vota 1 VERB parataxis
22 em 24 ADP case
23 o 24 DET det
24 caso 21 NOUN nmod
25 de 27 ADP case
26 o 27 DET det
27 triplex 24 NOUN nmod
28 de 30 ADP case
29 o 30 DET det
30 guaruja 27 NOUN nmod
31 e 32 CCONJ cc
32 aumenta 21 VERB conj
33 pena 32 NOUN obj
34 de 36 ADP case
35 o 36 DET det
36 expresidente 33 NOUN nmod
37 para 39 ADP case
38 12 39 NUM nummod
39 anos 32 NOUN nmod
40 e 42 CCONJ cc
41 1 42 NUM nummod
42 mes 39 NOUN conj
43 de 44 ADP case
44 prisao 42 NOUN nmod
45 revisor 49 NOUN nsubj
46 de 48 ADP case
47 o 48 DET det
48 caso 45 NOUN nmod
49 acompanha 1 VERB parataxis
50 voto 49 NOUN obj
51 em 53 ADP case
52 a 53 DET det
53 integra 50 NOUN nmod
54 o 55 DET det
55 desembargador 49 NOUN nsubj
56 pedro 55 NOUN appos
57 gebran 56 NOUN flat
58 neto 56 ADJ amod
59 relator 55 NOUN appos
60 de 62 ADP case
61 a 62 DET det
62 lava 59 NOUN nmod
63 jato 62 NOUN flat
64 em 66 ADP case
65 o 66 DET det
66 tribunal 59 NOUN nmod
67 regional 66 ADJ amod
68 federal 66 ADJ amod
69 de 72 ADP case
70 a 72 DET det
71 4 72 NUM nummod
72 regiao 66 NOUN nmod
73 em 74 ADP case
74 porto 76 NOUN nmod
75 alegre 74 ADJ amod
76 deu 1 VERB parataxis
77 em 79 ADP case
78 a 79 DET det
79 manha 76 NOUN nmod
80 desta 81 ADP case
81 quartafeira 79 NOUN nmod
82 24 81 NUM nmod
83 o 85 DET det
84 primeiro 85 ADJ amod
85 voto 76 NOUN obj
86 em 88 ADP case
87 o 88 DET det
88 julgamento 85 NOUN nmod
89 de 91 ADP case
90 o 91 DET det
91 expresidente 88 NOUN nmod
92 luiz 91 ADJ appos
93 inacio 92 ADJ flat
94 lula 92 PROPN flat
95 de 97 ADP case
96 a 97 DET det
97 silva 92 NOUN nmod
98 em 100 ADP case
99 o 100 DET det
100 caso 88 NOUN nmod
101 de 103 ADP case
102 o 103 DET det
103 triplex 100 NOUN nmod
104 de 106 ADP case
105 o 106 DET det
106 guaruja 103 NOUN nmod
107 em 109 ADP case
108 o 109 DET det
109 qual 110 PRON nmod
110 considerou 103 VERB acl:relcl
