1 ainda ainda 5 ADV advmod
2 e e 4 CCONJ cc
3 pouco pouco 4 ADV advmod
4 maior maior 5 ADJ amod
5 projeto projeto 11 NOUN nsubj
6 de de 7 ADP case
7 reflorestamento reflorestamento 5 NOUN nmod
8 de de 10 ADP case
9 a o 10 DET det
10 historia historia 7 NOUN nmod
11 recupera recuperar 0 VERB root
12 menos menos 14 ADV advmod
13 de de 12 ADP case
14 5 5 11 NUM obj
15 de de 17 ADP case
16 o o 17 DET det
17 desmatamento desmatamento 14 NOUN nmod
18 anual anual 17 ADJ amod
19 em em 21 ADP case
20 a o 21 DET det
21 amazonia amazonia 11 NOUN nmod
22 area area 11 NOUN obj
23 degradada degradar 22 ADJ acl
24 e e 25 CCONJ cc
25 estimada estimar 23 VERB conj
26 em em 30 ADP case
27 4 4 28 NUM nummod
28 milhoes milhoes 30 NUM nummod
29 de de 30 ADP case
30 hectares hectare 25 NOUN nmod
31 o o 11 PRON parataxis
32 que que 35 PRON nsubj
33 segundo segundo 34 ADP case
34 especialistas especialista 35 NOUN nmod
35 supera superar 31 VERB acl:relcl
36 em em 37 ADP mark
37 muito muito 35 ADV nmod
38 a o 39 DET det
39 recuperacao recuperacao 35 NOUN obj
40 de de 43 ADP case
41 30 30 42 NUM nummod
42 mil mil 43 NUM nummod
43 hectares hectare 39 NOUN nmod
44 com com 45 ADP case
45 plantio plantio 178 NOUN nmod
46 de de 50 ADP case
47 73 73 48 NUM nummod
48 milhoes milhoes 50 NUM nummod
49 de de 50 ADP case
50 arvores arvor 45 NOUN nmod
51 ate ate 52 ADP case
52 2023 2023 45 NUM nmod
53 prevista prever 58 VERB acl
54 em em 56 ADP case
55 o o 56 DET det
56 projeto projeto 53 NOUN nmod
57 uma um 58 DET det
58 area area 260 NOUN nsubj
59 de de 66 ADP case
60 por por 62 ADP case
61 o o 62 DET det
62 menos menos 64 ADV advmod
63 4 4 64 NUM nummod
64 milhoes milhoes 66 NUM nummod
65 de de 66 ADP case
66 hectares hectare 58 NOUN nmod
67 equivalente equivalente 66 ADJ amod
68 a a 70 ADP case
69 o o 70 DET det
70 tamanho tamanho 67 NOUN nmod
71 de de 73 ADP case
72 a o 73 DET det
73 suica suica 70 NOUN nmod
74 ou ou 77 CCONJ cc
75 a a 77 ADP case
76 4 4 77 NUM nummod
77 milhoes milhoes 79 NUM nummod
78 de de 79 ADP case
79 campos campo 45 NOUN nmod
80 de de 81 ADP case
81 futebol futebol 79 NOUN nmod
82 foi foi 83 AUX aux:pass
