1 veja ver 0 VERB root
2 e e 3 CCONJ cc
3 leia ler 1 VERB conj
4 a o 5 DET det
5 integra integra 3 NOUN obj
6 de de 8 ADP case
7 o o 8 DET det
8 pronunciamento pronunciamento 5 NOUN nmod
9 de de 10 ADP case
10 temer temer 8 NOUN nmod
11 sobre sobre 13 ADP case
12 a o 13 DET det
13 denuncia denuncia 5 NOUN nmod
14 de de 16 ADP case
15 a o 16 DET det
16 pgr pgr 13 NOUN nmod
17 em em 18 ADP case
18 discurso discurso 13 NOUN nmod
19 em em 21 ADP case
20 o o 21 DET det
21 planalto planalto 18 NOUN nmod
22 presidente presidente 24 NOUN nsubj
23 se se 24 PRON expl:pv
24 disse dizer 1 VERB ccomp
25 vitima vitima 24 NOUN xcomp
26 de de 27 ADP case
27 infamia infamia 25 NOUN nmod
28 de de 29 ADP case
29 natureza natureza 27 NOUN nmod
30 politica politico 29 ADJ amod
31 ele ele 33 PRON nsubj:pass
32 foi foi 33 AUX aux:pass
33 denunciado denunciar 1 VERB ccomp
34 por por 36 ADP case
35 a o 36 DET det
36 pgr pgr 33 NOUN nmod
37 por por 39 ADP case
38 o o 39 DET det
39 crime crime 33 NOUN nmod
40 de de 41 ADP case
41 corrupcao corrupcao 39 NOUN nmod
42 passiva passivo 41 ADJ amod
43 com com 44 ADP case
44 base base 33 NOUN nmod
45 em em 47 ADP case
46 as o 47 DET det
47 delacoes delacoe 44 NOUN nmod
48 de de 50 ADP case
49 a o 50 DET det
50 jbs jbs 47 NOUN nmod
51 assista assistir 1 VERB parataxis
52 em em 54 ADP case
53 o o 54 DET det
54 video video 51 NOUN nmod
55 acima acima 54 ADV advmod
56 e e 57 CCONJ cc
57 leia ler 51 VERB conj
58 abaixo abaixo 57 ADV advmod
59 a o 60 DET det
60 integra integra 57 NOUN obj
61 de de 63 ADP case
62 o o 63 DET det
63 pronunciamento pronunciamento 60 NOUN nmod
64 de de 66 ADP case
65 o o 66 DET det
66 presidente presidente 63 NOUN nmod
67 michel michel 66 ADJ appos
68 temer temer 66 NOUN flat
69 desta desta 70 ADP case
70 tercafeira tercafeira 63 NOUN nmod
71 27 27 70 NUM appos
72 sobre sobre 74 ADP case
73 a o 74 DET det
74 denuncia denuncia 164 NOUN nmod
75 oferecida oferecer 74 VERB acl
76 por por 78 ADP case
77 a o 78 DET det
78 procuradoriageral procuradoriageral 75 NOUN nmod
79 de de 81 ADP case
80 a o 81 DET det
81 republica republica 78 NOUN nmod
82 especial especial 81 ADJ amod
83 g1 g1 75 NUM nsubj:pass
84 temer temer 83 NOUN flat
85 em em 87 ADP case
86 a o 87 DET det
87 mira mira 75 NOUN nmod
88 de de 90 ADP case
89 a o 90 DET det
90 justica justica 87 NOUN nmod
91 em em 93 ADP case
92 o o 93 DET det
93 discurso discurso 75 NOUN nmod
94 em em 96 ADP case
95 o o 96 DET det
96 palacio palacio 93 NOUN nmod
97 de de 99 ADP case
98 o o 99 DET det
99 planalto planalto 96 NOUN nmod
100 o o 101 DET det
101 presidente presidente 103 NOUN nsubj
102 se se 103 PRON expl:pv
103 disse dizer 1 VERB parataxis
104 vitima vitima 103 NOUN xcomp
105 de de 106 ADP case
106 infamia infamia 104 NOUN nmod
107 de de 108 ADP case
108 natureza natureza 106 NOUN nmod
109 politica politico 108 ADJ amod
110 e e 111 CCONJ cc
111 cobrou cobrar 103 VERB conj
112 provas prova 111 NOUN obj
113 robustas robusto 112 ADJ amod
114 contra contra 115 ADP case
115 ele ele 112 PRON nmod
116 alem alem 273 ADV advmod
117 de de 118 ADP mark
118 afirmar afirmar 116 VERB nmod
119 que que 121 CCONJ mark
120 foi foi 121 AUX aux:pass
121 criada criar 118 VERB ccomp
122 uma um 124 DET det
123 nova novo 124 ADJ amod
124 categoria categoria 121 NOUN nsubj:pass
125 em em 127 ADP case
126 o o 127 DET det
127 codigo codigo 121 NOUN nmod
128 penal penal 127 ADJ amod
129 a o 130 DET det
130 denuncia denuncia 121 NOUN nsubj:pass
131 por por 132 ADP case
132 ilacao ilacao 130 NOUN nmod
133 nesta nesta 29 ADP case
134 segunda segunda 289 PROPN nmod
135 26 26 136 NUM nummod
136 temer temer 138 NOUN nsubj:pass
137 foi foi 138 AUX aux:pass
138 denunciado denunciar 292 VERB ccomp
139 por por 141 ADP case
140 o o 141 DET det
141 procuradorgeral procuradorgeral 138 NOUN nmod
142 de de 144 ADP case
143 a o 144 DET det
144 republica republica 141 NOUN nmod
145 rodrigo rodrigo 141 PROPN appos
146 janot janot 145 PROPN flat
147 por por 149 ADP case
148 o o 149 DET det
149 crime crime 233 NOUN nmod
150 de de 41 ADP case
151 corrupcao corrupcao 149 NOUN nmod
152 passiva passivo 41 ADJ amod
153 com com 44 ADP case
154 base base 33 NOUN nmod
155 em em 157 ADP case
156 as o 157 DET det
157 delacoes delacoe 44 NOUN nmod
158 de de 160 ADP case
159 a o 160 DET det
160 jbs jbs 157 NOUN nmod
161 leia ler 51 VERB parataxis
162 abaixo abaixo 161 ADV advmod
163 a o 164 DET det
164 integra integra 161 NOUN obj
165 de de 167 ADP case
166 o o 167 DET det
167 pronunciamento pronunciamento 164 NOUN nmod
168 de de 170 ADP case
169 o o 170 DET det
170 presidente presidente 167 NOUN nmod
171 divulgada divulgar 74 VERB acl
172 por por 174 ADP case
173 a o 174 DET det
174 assessoria assessoria 171 NOUN nmod
175 declaracao declaracao 57 NOUN parataxis
176 a a 177 ADP case
177 imprensa imprensa 175 NOUN nmod
178 de de 180 ADP case
179 o o 180 DET det
180 presidente presidente 177 NOUN nmod
181 michel michel 170 ADJ amod
182 temer temer 180 PROPN appos
183 se se 186 CCONJ mark
184 eu eu 186 PRON nsubj
185 fosse fosse 186 AUX cop
186 presidente presidente 248 NOUN advcl
187 de de 189 ADP case
188 a o 189 DET det
189 camara camara 186 NOUN nmod
190 de de 192 ADP case
191 os o 192 DET det
192 deputados deputado 189 NOUN nmod
193 eu eu 194 PRON nsubj
194 faria fazer 103 VERB parataxis
195 uma um 196 DET det
196 sessao sessao 194 NOUN obj
197 pois pois 198 CCONJ mark
198 temos ter 194 VERB advcl
199 quorum quorum 198 NOUN obj
200 eu eu 201 PRON nsubj
201 quero querer 51 VERB ccomp
202 agradecer agradecer 201 VERB xcomp
203 muitissimo muitissimo 202 ADV advmod
204 a a 205 ADP case
205 proposito proposito 202 NOUN nmod
206 a o 207 DET det
207 presenca presenca 121 NOUN nsubj:pass
208 de de 210 ADP case
209 os o 210 DET det
210 colegas colega 207 NOUN nmod
211 senadores senador 210 ADJ amod
212 colegas colega 210 NOUN appos
213 deputados deputado 210 NOUN appos
214 senhores senhor 212 NOUN amod
215 ministros ministro 213 NOUN amod
216 foi foi 219 AUX cop
217 ate ate 219 ADV advmod
218 um um 219 DET det
219 aviso aviso 260 NOUN parataxis
220 de de 222 ADP case
221 ultima ultima 222 ADJ amod
222 hora hora 219 NOUN nmod
223 eu eu 224 PRON nsubj
224 estou estar 232 VERB ccomp
225 agradavelmente agradavelmente 226 ADV advmod
226 surpreso surpreso 224 ADJ xcomp
227 com com 229 ADP case
228 este este 229 DET det
229 apoio apoio 226 NOUN nmod
230 extremamente extremamente 231 ADV advmod
231 espontaneo espontaneo 229 ADJ amod
232 quero querer 260 VERB ccomp
233 agradecer agradecer 232 VERB xcomp
234 muito muito 233 ADV advmod
235 a a 237 ADP case
236 os o 237 DET det
237 senhores senhor 233 NOUN iobj
238 e e 240 CCONJ cc
239 as o 240 DET det
