1 prefeituras prefeitura 6 NOUN nsubj
2 e e 4 CCONJ cc
3 outros outros 4 DET det
4 orgaos orgao 1 NOUN conj
5 publicos publico 4 ADJ amod
6 devem devem 0 VERB root
7 r r 6 NOUN obj
8 679 679 9 NUM nummod
9 milhoes milhoes 7 NUM appos
10 a a 12 ADP case
11 o o 12 DET det
12 fgts fgts 6 NOUN iobj
13 dividas divida 12 NOUN appos
14 de de 16 ADP case
15 a o 16 DET det
16 administracao administracao 13 NOUN nmod
17 publica publico 16 ADJ amod
18 e e 21 CCONJ cc
19 menos menos 21 ADV advmod
20 de de 19 ADP case
21 1 1 7 NUM conj
22 de de 24 ADP case
23 o o 24 DET det
24 total total 21 NOUN nmod
25 de de 26 ADP case
26 debitos debito 24 NOUN nmod
27 que que 30 PRON nsubj:pass
28 pode pode 30 AUX aux
29 ser ser 30 AUX aux:pass
30 cobrado cobrar 26 VERB acl:relcl
31 segundo segundo 32 ADP case
32 dados dado 30 NOUN nmod
33 de de 35 ADP case
34 a o 35 DET det
35 fazenda fazenda 32 NOUN nmod
36 nacional nacional 35 ADJ amod
37 veja ver 6 VERB parataxis
38 lista lista 37 NOUN obj
39 de de 43 ADP case
40 os o 43 DET det
41 20 20 43 NUM nummod
42 maiores maior 43 ADJ amod
43 devedores devedor 38 NOUN nmod
44 os o 45 DET det
45 orgaos orgao 54 NOUN nsubj
46 publicos publico 45 ADJ amod
47 e e 49 CCONJ cc
48 demais demais 49 DET det
49 empregadores empregador 45 NOUN conj
50 de de 52 ADP case
51 a o 52 DET det
52 administracao administracao 49 NOUN nmod
53 publica publico 52 ADJ amod
54 devem devem 6 VERB conj
55 aproximadamente aproximadamente 58 ADV advmod
56 r r 54 NOUN obj
57 679 679 58 NUM nummod
58 milhoes milhoes 56 NUM nummod
59 a a 61 ADP case
60 o o 61 DET det
61 fundo fundo 54 NOUN iobj
62 de de 63 ADP case
63 garantia garantia 61 NOUN nmod
64 por por 65 ADP case
65 tempo tempo 63 NOUN nmod
66 de de 67 ADP case
67 servico servico 65 NOUN nmod
68 fgts fgts 54 NOUN parataxis
69 em em 71 ADP case
70 o o 71 DET det
71 entanto entanto 74 ADV nmod
72 eles eles 74 PRON nsubj
73 sao ser 74 AUX cop
74 minoria minoria 54 NOUN conj
75 entre entre 76 ADP case
76 os os 74 PRON nmod
77 que que 78 PRON nsubj
78 fazem fazer 76 VERB acl:relcl
79 parte parte 78 NOUN obj
80 de de 82 ADP case
81 a o 82 DET det
82 lista lista 79 NOUN nmod
83 devedores devedor 82 ADJ amod
84 de de 86 ADP case
85 o o 86 DET det
86 fundo fundo 82 NOUN nmod
87 a o 88 DET det
88 maioria maioria 78 NOUN obj
89 de de 91 ADP case
90 as o 91 DET det
91 dividas divida 88 NOUN nmod
92 e e 94 CCONJ cc
93 de de 94 ADP case
94 empresas empresa 91 NOUN conj
95 privadas privado 94 ADJ amod
96 e e 99 CCONJ cc
97 o o 74 DET det
98 que que 99 PRON nsubj
99 aponta apontar 74 VERB conj
100 levantamento levantamento 99 NOUN obj
101 feito feito 100 VERB acl
102 por por 104 ADP case
103 o o 104 DET det
104 g1 g1 101 NOUN nmod
105 com com 106 ADP case
106 dados dado 101 NOUN nmod
107 de de 110 ADP case
108 a o 110 DET det
109 a o 110 DET det
110 procuradoria procuradoria 106 NOUN nmod
111 geral geral 110 ADJ amod
112 de de 114 ADP case
113 a o 114 DET det
114 fazenda fazenda 110 NOUN nmod
115 nacional nacional 114 ADJ amod
116 pgfn pgfn 110 NOUN appos
117 a o 118 DET det
118 lista lista 99 NOUN nsubj
119 de de 120 ADP case
120 empregadores empregador 118 NOUN nmod
121 que que 122 PRON nsubj
122 devem devem 120 VERB acl:relcl
123 a a 125 ADP case
124 o o 125 DET det
125 fgts fgts 122 NOUN nmod
126 e e 127 CCONJ cc
127 aberta aberto 122 ADJ conj
128 e e 131 CCONJ cc
129 pode pode 131 AUX aux
130 ser ser 131 AUX aux:pass
131 consultada consultar 99 VERB conj
132 neste neste 133 ADP case
133 link link 131 NOUN nmod
134 de de 136 ADP case
135 a o 136 DET det
136 pgfn pgfn 133 NOUN nmod
137 muitos muitos 138 DET det
138 trabalhadores trabalhador 140 NOUN nsubj
139 so so 140 ADV advmod
140 descobriram descobrir 118 VERB acl:relcl
141 que que 140 CCONJ mark
142 seus seus 143 DET det:poss
143 empregadores empregador 140 NOUN nsubj
144 nao nao 140 ADV advmod
