1 apos apos 9 ADP mark
2 missil missil 9 NOUN nsubj
3 de de 5 ADP case
4 a o 5 DET det
5 coreia coreia 2 NOUN nmod
6 de de 8 ADP case
7 o o 8 DET det
8 norte norte 5 NOUN nmod
9 passar passar 14 VERB advcl
10 sobre sobre 12 ADP case
11 o o 12 DET det
12 japao japao 9 NOUN nmod
13 trump trump 14 NOUN nsubj
14 diz dizer 0 VERB root
15 que que 19 CCONJ mark
16 todas todas 18 DET det
17 as o 18 DET det
18 opcoes opcoe 19 NOUN nsubj
19 estao estao 14 VERB ccomp
20 sobre sobre 22 ADP case
21 a o 22 DET det
22 mesa mesa 19 NOUN nmod
23 em em 24 ADP case
24 comunicado comunicado 19 NOUN nmod
25 oficial oficial 24 ADJ amod
26 presidente presidente 31 NOUN nsubj
27 de de 29 ADP case
28 os o 29 DET det
29 estados estado 26 NOUN nmod
30 unidos unido 29 ADJ amod
31 afirmou afirmar 14 VERB parataxis
32 que que 19 CCONJ mark
33 mensagem mensagem 31 NOUN nsubj
34 nortecoreana nortecoreano 33 ADJ amod
35 e e 36 CCONJ cc
36 clara claro 34 ADJ conj
37 e e 38 CCONJ cc
38 sinaliza sinalizar 31 VERB conj
39 desprezo desprezo 38 NOUN obj
40 com com 41 ADP case
41 paises paise 39 NOUN nmod
42 vizinhos vizinho 41 ADJ amod
43 e e 44 CCONJ cc
44 onu onu 41 NOUN conj
45 depois depois 52 ADV mark
46 que que 45 CCONJ fixed
47 a o 48 DET det
48 coreia coreia 52 NOUN nsubj
49 de de 51 ADP case
50 o o 51 DET det
51 norte norte 48 NOUN nmod
52 lancou lancar 70 VERB advcl
53 um um 54 DET det
54 missil missil 52 NOUN obj
55 sobre sobre 57 ADP case
56 o o 57 DET det
57 japao japao 52 NOUN nmod
58 em em 60 ADP case
59 a o 60 DET det
60 segundafeira segundafeira 52 NOUN nmod
61 28 28 60 NUM nmod
62 o o 63 DET det
63 presidente presidente 182 NOUN nsubj
64 de de 66 ADP case
65 os o 66 DET det
66 estados estado 63 NOUN nmod
67 unidos unido 66 ADJ amod
68 donald donald 63 NOUN appos
69 trump trump 68 NOUN flat
70 sugeriu sugerir 14 VERB parataxis
71 que que 73 CCONJ mark
72 nao nao 73 ADV advmod
73 havera haver 70 VERB ccomp
74 tregua tregua 73 NOUN obj
75 para para 77 ADP case
76 o o 77 DET det
77 governo governo 74 NOUN nmod
78 de de 79 ADP case
79 pyongyang pyongyang 77 NOUN nmod
80 e e 85 CCONJ cc
81 que que 85 CCONJ mark
82 todas todas 84 DET det
83 as o 84 DET det
84 opcoes opcoe 85 NOUN nsubj
85 estao estao 73 VERB conj
86 sobre sobre 88 ADP case
87 a o 88 DET det
88 mesa mesa 85 NOUN nmod
89 a o 90 DET det
90 mensagem mensagem 257 NOUN nsubj
91 de de 93 ADP case
92 a o 93 DET det
93 coreia coreia 90 NOUN nmod
94 de de 96 ADP case
95 o o 96 DET det
96 norte norte 93 NOUN nmod
97 sinalizou sinalizar 149 VERB ccomp
98 seu seu 99 DET det:poss
99 desprezo desprezo 97 NOUN obj
100 para para 101 ADP case
101 paises paise 99 NOUN nmod
102 vizinhos vizinho 101 ADJ amod
103 e e 105 CCONJ cc
104 as o 105 DET det
105 nacoes nacoe 101 NOUN conj
106 unidas unido 105 ADJ amod
107 com com 109 ADP case
108 um um 109 DET det
109 comportamento comportamento 242 NOUN nmod
110 internacional internacional 109 ADJ amod
111 inaceitavel inaceitavel 109 ADJ amod
112 tambem tambem 113 ADV advmod
113 afirmou afirmar 70 VERB parataxis
114 trump trump 113 NOUN nsubj
115 segundo segundo 117 ADP case
116 a o 117 DET det
117 agencia agencia 182 NOUN nmod
118 reuters reuter 117 ADJ amod
119 a o 120 DET det
120 crise crise 257 NOUN nsubj
121 entre entre 123 ADP case
122 a o 123 DET det
123 coreia coreia 120 NOUN nmod
124 de de 126 ADP case
125 o o 126 DET det
126 norte norte 123 NOUN nmod
127 e e 129 CCONJ cc
128 os o 129 DET det
129 estados estado 123 NOUN conj
130 unidos unido 129 ADJ amod
131 em em 133 ADP case
132 o o 133 DET det
133 entanto entanto 197 ADV nmod
134 nao nao 135 ADV advmod
135 comecou comecar 14 VERB conj
136 agora agora 220 ADV advmod
137 ela ela 139 PRON nsubj
138 se se 139 PRON expl:pv
139 agravou agravar 14 VERB ccomp
140 em em 142 ADP case
141 o o 142 DET det
142 inicio inicio 139 NOUN nmod
143 de de 144 ADP case
144 agosto agosto 142 PROPN nmod
145 quando quando 257 ADV advmod
146 o o 147 DET det
147 governo governo 257 NOUN nsubj
148 nortecoreano nortecoreano 147 ADJ amod
149 anunciou anunciar 142 VERB acl:relcl
150 que que 151 CCONJ mark
151 pretendia pretender 149 VERB ccomp
152 lancar lancar 151 VERB xcomp
153 quatro quatro 154 NUM nummod
154 misseis missil 152 NOUN obj
155 hwasong12 hwasong12 154 NOUN appos
156 de de 158 ADP case
157 medio medio 158 ADJ amod
158 alcance alcance 154 NOUN nmod
159 em em 161 ADP case
160 um um 161 DET det
161 ataque ataque 152 NOUN nmod
162 em em 164 ADP case
163 as o 164 DET det
164 proximidades proximidade 161 NOUN nmod
165 de de 167 ADP case
166 a o 167 DET det
167 ilha ilha 164 NOUN nmod
168 de de 169 ADP case
169 guam guam 167 NOUN nmod
