algorithm,dataset,vectorizer,accuracy,precision,recall,f1,custom_accuracy,train_time,predict_time
AdaBoost,pre_processed,CountVectorizer,0.9444,0.9448,0.9448,0.9448,0.5833,671.54,22.74
AdaBoost,pre_processed,TfidfVectorizer_idf,0.9403,0.9435,0.9374,0.9405,0.5,427.41,18.12
AdaBoost,pre_processed,TfidfVectorizer_normalized,0.9398,0.9443,0.9356,0.9399,0.6667,431.03,18.11
AdaBoost,pre_normalized,TfidfVectorizer_normalized,0.8398,0.827,0.862,0.8441,0.75,211.98,10.91
AdaBoost,pre_normalized,CountVectorizer,0.8366,0.8449,0.827,0.8359,0.8333,209.87,10.83
AdaBoost,pre_normalized,TfidfVectorizer_idf,0.8333,0.8243,0.85,0.837,0.75,213.24,10.96
Bernoulli_NB,pre_processed,CountVectorizer,0.9139,0.866,0.9807,0.9198,0.5,10.92,1.63
Bernoulli_NB,pre_processed,TfidfVectorizer_normalized,0.9139,0.866,0.9807,0.9198,0.5,3.31,1.65
Bernoulli_NB,pre_processed,TfidfVectorizer_idf,0.9139,0.866,0.9807,0.9198,0.5,3.29,1.46
Bernoulli_NB,pre_normalized,CountVectorizer,0.8755,0.8956,0.8519,0.8732,0.9167,6.09,0.9
Bernoulli_NB,pre_normalized,TfidfVectorizer_normalized,0.8755,0.8956,0.8519,0.8732,0.9167,1.98,0.85
Bernoulli_NB,pre_normalized,TfidfVectorizer_idf,0.8755,0.8956,0.8519,0.8732,0.9167,1.93,0.89
CatBoost,pre_processed,CountVectorizer,0.9597,0.9604,0.9595,0.96,0.5,429.98,35.29
CatBoost,pre_processed,TfidfVectorizer_normalized,0.9569,0.9585,0.9558,0.9572,0.5,710.6,36.26
CatBoost,pre_processed,TfidfVectorizer_idf,0.9569,0.9593,0.9549,0.9571,0.5,713.18,37.2
CatBoost,pre_normalized,CountVectorizer,0.8884,0.8917,0.8859,0.8888,0.9167,203.44,20.46
CatBoost,pre_normalized,TfidfVectorizer_normalized,0.8866,0.8813,0.8951,0.8882,0.9167,329.6,20.6
CatBoost,pre_normalized,TfidfVectorizer_idf,0.8847,0.8782,0.8951,0.8866,0.9167,340.1,21.8
Decision_Tree_Classifier,pre_processed,CountVectorizer,0.8954,0.8924,0.9006,0.8965,0.75,62.9,0.56
Decision_Tree_Classifier,pre_processed,TfidfVectorizer_normalized,0.8889,0.9029,0.873,0.8877,0.6667,57.38,0.7
Decision_Tree_Classifier,pre_processed,TfidfVectorizer_idf,0.8833,0.8935,0.8721,0.8827,0.6667,55.9,0.52
Decision_Tree_Classifier,pre_normalized,CountVectorizer,0.7713,0.7768,0.7654,0.7711,0.75,36.14,0.33
Decision_Tree_Classifier,pre_normalized,TfidfVectorizer_idf,0.7667,0.7697,0.7654,0.7675,0.6667,36.0,0.31
Decision_Tree_Classifier,pre_normalized,TfidfVectorizer_normalized,0.7491,0.7544,0.7433,0.7488,0.75,38.93,0.34
Extra_Tree_Classifier,pre_processed,TfidfVectorizer_idf,0.8051,0.8011,0.8151,0.808,0.4167,2.74,0.52
Extra_Tree_Classifier,pre_processed,CountVectorizer,0.7889,0.7713,0.8252,0.7973,0.4167,2.95,0.57
Extra_Tree_Classifier,pre_processed,TfidfVectorizer_normalized,0.7801,0.7823,0.7801,0.7812,0.5833,2.85,0.69
Extra_Tree_Classifier,pre_normalized,CountVectorizer,0.6861,0.6961,0.6679,0.6817,0.6667,2.09,0.32
Extra_Tree_Classifier,pre_normalized,TfidfVectorizer_idf,0.6769,0.6751,0.69,0.6824,0.5833,1.99,0.34
Extra_Tree_Classifier,pre_normalized,TfidfVectorizer_normalized,0.6681,0.6745,0.6578,0.666,0.5833,2.29,0.34
Extra_Trees_Classifier,pre_processed,TfidfVectorizer_normalized,0.9542,0.9458,0.9641,0.9549,0.5,144.45,0.86
Extra_Trees_Classifier,pre_processed,TfidfVectorizer_idf,0.9523,0.9432,0.9632,0.9531,0.5,138.43,0.74
Extra_Trees_Classifier,pre_processed,CountVectorizer,0.9519,0.93,0.9779,0.9534,0.5,167.25,0.98
Extra_Trees_Classifier,pre_normalized,TfidfVectorizer_normalized,0.8921,0.8976,0.8868,0.8922,0.9167,131.98,0.6
Extra_Trees_Classifier,pre_normalized,TfidfVectorizer_idf,0.8884,0.8924,0.885,0.8887,0.9167,136.37,0.64
Extra_Trees_Classifier,pre_normalized,CountVectorizer,0.8801,0.8819,0.8795,0.8807,1.0,131.57,0.62
Gaussain_NB,pre_normalized,TfidfVectorizer_normalized,0.719,0.7226,0.7167,0.7196,0.5833,3.39,1.97
Gaussain_NB,pre_normalized,CountVectorizer,0.7176,0.7313,0.6937,0.712,0.5,4.49,1.93
Gaussain_NB,pre_normalized,TfidfVectorizer_idf,0.7014,0.698,0.7167,0.7072,0.5,4.58,2.5
Gaussain_NB,pre_processed,CountVectorizer,0.6181,0.9456,0.2557,0.4026,0.5,8.89,3.46
Gaussain_NB,pre_processed,TfidfVectorizer_normalized,0.6181,0.9456,0.2557,0.4026,0.5,6.48,3.68
Gaussain_NB,pre_processed,TfidfVectorizer_idf,0.6139,0.947,0.2466,0.3912,0.5,5.78,3.26
GradientBoost,pre_processed,TfidfVectorizer_normalized,0.95,0.9545,0.9457,0.9501,0.5,1780.33,0.6
GradientBoost,pre_processed,CountVectorizer,0.9495,0.9519,0.9476,0.9497,0.5,2782.12,0.74
GradientBoost,pre_processed,TfidfVectorizer_idf,0.9491,0.9519,0.9466,0.9493,0.5833,1774.74,0.65
GradientBoost,pre_normalized,TfidfVectorizer_normalized,0.85,0.8309,0.8813,0.8554,0.9167,940.29,0.39
